Position,Gymnast,D Score,E Score,Penalty,Total
,Max Whitlock (GBR),7.3,8.866,,16.166
,Krisztián Berki (HUN),6.9,8.733,,15.633
,Sašo Bertoncelj (SLO),6.5,8.966,,15.466
4.0,Nikolai Kuksenkov (RUS),7.1,8.233,,15.333
5.0,Oleg Verniaiev (UKR),6.7,7.433,,14.133
6.0,Andrey Likhovitskiy (BLR),6.4,7.6,,14.0
7.0,Filip Ude (CRO),6.4,7.366,,13.766
8.0,Vasili Mikhalitsyn (BLR),6.1,7.166,,13.266
