Position,Gymnast,D Score,E Score,Penalty,Total
,Oleg Verniaiev (UKR),6.8,9.166,,15.966
,David Belyavskiy (RUS),6.6,8.966,,15.566
,Epke Zonderland (NED),6.5,9.033,,15.533
4.0,Marius Berbecar (ROU),6.5,8.466,,14.966
5.0,Nikolai Kuksenkov (RUS),5.8,8.4,,14.2
6.0,Andrei Vasile Muntean (ROU),6.2,7.966,,14.166
7.0,Mitja Petkovšek (SLO),4.6,7.966,,12.566
8.0,Alexander Tsarevich (BLR),4.8,7.3,,12.1
