Date,Competition,,VT,UB,BB,FX,AA
Aug 24-27,U.S. Championships,AA,14.05,14,13.7,14,55.75
Aug 24-27,U.S. Championships,QF,14.25,14,13.75,13.35,55.35
Aug 4-6,U.S. Classic,AA,14.15,13.75,12.7,13.5,54.1
Jul 9-12,July National Team Camp,AA,13.6,12.85,12.6,12.45,51.5
