Rank,Name,Difficulty,Execution,Penalty,Total
1,Simone Biles(USA),6.9,9.066,,15.966
2,Aly Raisman(USA),6.6,8.9,,15.5
3,Amy Tinkler(GBR),6.4,8.533,,14.933
4,Vanessa Ferrari(ITA),6.3,8.466,,14.766
5,Wang Yan(CHN),6.3,8.366,,14.666
6,Erika Fasana(ITA),6.1,8.433,,14.533
7,Mai Murakami(JPN),6.3,8.233,,14.533
8,Giulia Steingruber(SUI),5.4,6.7,-0.3,11.8
