Rank,Athlete,Nation,D,E,ND,Total
1,Ana Sofia Gomez,Guatemala,6.2,8.25,,14.45
2,Jessica Lopez,Venezuela,5.8,8.3,,14.1
3,Julie Sinmon,Brazil,5.4,8.6,,14
4,Madison Kocian,United States,5.8,8.025,,13.825
4,Yesenia Ferrera,Cuba,5.6,8.225,,13.825
6,Ayelen Tarabini,Argentina,5.6,7.95,,13.55
7,MyKayla Skinner,United States,5.7,7.775,,13.475
8,Daniele Hypolito,Brazil,5.5,7.225,,12.725
