Rank,Athlete,Nation,D,E,ND,Total,D,E,ND,Total,Average
1,MyKayla Skinner,United States,6.4,8.8,,15.2,5.8,9.075,,14.875,15.037
2,Yesenia Ferrera,Cuba,6.2,7.95,,14.15,6,8.65,,14.65,14.4
3,Dovelis Torres,Cuba,5.8,8.575,,14.375,5.3,8.85,,13.85,14.112
4,Maegan Chant,Canada,5.2,8.775,,13.975,5.4,8.55,,13.95,13.962
5,Isabelle Cruz,Brazil,5.3,9.025,,14.325,5,8.45,,13.45,13.887
6,Paula Mejias,Puerto Rico,4.8,8.225,,13.025,6,8.6,,14.6,13.812
7,Alexa Moreno,Mexico,6.2,7.25,,13.45,6,7.45,,13.45,13.45
8,Nicolle Vazquez,Puerto Rico,5.4,8.425,,13.825,5.8,6.375,,12.175,13
