Team,vault_score,vault_rank,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,total_score,total_rank
United States,46.966,1,46.632,2,45.832,1,45.808,1,185.238,1
Simone Biles(USA),16.000/16.100Avg: 16.050,1,15,14,15.633,1,15.733,1,62.416,1
Aly Raisman(USA),15.766,,14.733,22,14.833,7,15.275,2,60.607,2
Gabby Douglas(USA),15.166,,15.766,3,14.833,7,14.366,9,60.131,3
Laurie Hernandez(USA),15.2,,,,15.366,2,14.8,4,,
Madison Kocian(USA),,,15.866,1,,,,,,
China,44.515,5,45.166,4,43.332,4,42.266,4,175.279,2
Wang Yan(CHN),14.933/14.966Avg: 14.949,7,13.9,44,14.1,26,14.666,6,57.599,7
Shang Chunsong(CHN),12.766,,15.3,8,14.366,17,14.1,16,56.532,20
Fan Yilin(CHN),,,15.266,9,14.866,6,13.5,40,,
Tan Jiaxin(CHN),14.766,,14.6,28,,,,,,
Mao Yi(CHN),14.816,,,,,,11.7,78,,
Russia,44.832,3,46.649,1,41.998,8,41.141,10,174.62,3
Seda Tutkhalyan(RUS),14.733/14.733Avg: 14.733,10,15.133,11,14.466,14,13.875,25,58.207,5
Aliya Mustafina(RUS),15.166,,15.833,2,13.033,59,14.066,17,58.098,6
Angelina Melnikova(RUS),14.933,,15.1,13,13.266,54,13.2,53,56.499,22
Daria Spiridonova(RUS),,,15.683,4,14.266,19,12.033,74,,
Maria Paseka(RUS),14.733/15.366Avg: 15.049,4,,,,,,,,
Great Britain,44.432,7,44.666,5,42.4,6,42.566,3,174.064,4
Ellie Downie(GBR),14.833/14.533Avg: 14.683,11,14.633,26,14.5,11,12.5,72,56.466,24
Claudia Fragapane(GBR),14.766,,12.533,69,13.4,48,14.333,11,55.032,30
Amy Tinkler(GBR),14.833,,,,14.5,12,14.6,7,,
Ruby Harrold(GBR),14.6,,14.8,19,,,13.633,35,,
Becky Downie(GBR),,,15.233,10,13.3,52,,,,
Brazil,45.299,2,43.357,9,43.599,3,41.799,7,174.054,5
Rebeca Andrade(BRA),15.566,,14.933,15,14.2,22,14.033,20,58.732,4
Flávia Saraiva(BRA),14.633,,12.733,67,15.133,3,14.033,19,56.532,19
Jade Barbosa(BRA),14.9,,14.266,35,13.6,42,13.733,30,56.499,23
Lorrane Oliveira(BRA),14.833,,14.158,39,,,,,,
Daniele Hypólito(BRA),,,,,14.266,19,12.4,73,,
Germany,43.333,9,45.699,3,42.499,5,41.732,8,173.263,6
Elisabeth Seitz(GER),14.1,,15.466,5,13.866,31,13.666,34,57.098,11
Sophie Scheder(GER),13.966,,15.433,6,12.933,62,13.266,47,55.598,28
Pauline Schäfer(GER),14.4,,,,14.4,15,14.3,12,,
Tabea Alt(GER),14.833,,14.666,25,14.233,21,,,,
Kim Bùi(GER),,,14.8,19,,,13.766,29,,
Japan,44.466,6,44.1,6,41.699,9,42.299,5,172.564,7
Mai Murakami(JPN),14.7,,14.166,38,13.833,34,14.566,8,57.265,9
Asuka Teramoto(JPN),14.8,,14.9,16,13.666,39,13.7,32,57.066,12
Aiko Sugihara(JPN),14.3,,14.4,33,14.133,25,14.033,21,56.866,16
Yuki Uchiyama(JPN),,,14.8,18,13.733,37,,,,
Sae Miyakawa(JPN),14.966/13.766Avg: 14.366,16,,,,,13.266,49,,
Netherlands,43.132,10,43.866,7,43.732,2,41.199,9,171.929,8
Eythora Thorsdottir(NED),14.9,,14.733,21,14.3,18,13.633,36,57.566,8
Lieke Wevers(NED),13.966,,14.6,27,14.366,16,13.85,27,56.782,17
Céline van Gerner(NED),13.766,,14.533,29,13.8,35,13.716,31,55.815,25
Sanne Wevers(NED),,,14.408,32,15.066,4,,,,
Vera van Pol(NED),14.266,,,,,,13.5,40,,
Canada,44.732,4,43.499,8,41.565,11,41.965,6,171.761,9
Ellie Black(CAN),14.766/14.233Avg: 14.499,15,14.5,31,13.566,44,14.133,15,56.965,13
Isabela Onyshko(CAN),14,,14.733,23,14.533,10,13.966,22,57.232,10
Brittany Rogers(CAN),14.666/14.900Avg: 14.783,9,14.266,36,13.466,45,,,,
Rose-Kaying Woo(CAN),,,13.733,52,13.233,55,13.566,38,,
Shallon Olsen(CAN),15.300/14.600Avg: 14.950,6,,,,,13.866,26,,
Italy,43.366,8,42.266,12,40.332,12,43.432,2,169.396,10
Carlotta Ferlito(ITA),14.3,,14.033,42,13.233,56,14.033,18,55.599,27
Vanessa Ferrari(ITA),14.533,,13.866,47,12,75,14.866,3,55.265,29
Elisa Meneghini(ITA),14.166,,,,14.166,23,14.233,13,,
Erika Fasana(ITA),,,14.2,37,12.933,63,14.333,10,,
Martina Rizzelli(ITA),14.533,,14.033,43,,,,,,
France,42.299,11,43.099,10,42.399,7,40.899,12,168.696,11
Marine Brevet(FRA),14.133,,14.333,34,14.166,23,13.933,23,56.565,18
Louise Vanhille(FRA),13.966,,14.866,17,13.633,40,13.3,45,55.765,26
Oréane Lechenault(FRA),12.3,,13.166,60,13.633,41,13.666,33,52.765,46
Marine Boyer(FRA),14.2,,,,14.6,9,13.233,50,,
Loan His(FRA),,,13.9,46,,,,,,
Belgium,42.033,12,43.041,11,41.765,10,40.999,11,167.838,12
Nina Derwael(BEL),13.9,,15.133,12,13.966,28,13.533,39,56.532,21
Rune Hermans(BEL),13.133,,13.775,50,13.7,38,13.9,24,54.508,34
Gaëlle Mys(BEL),14.133,,,,13.833,33,13.566,37,,
Laura Waem(BEL),,,14.133,41,13.966,28,13.366,44,,
Senna Deriks(BEL),14,,13.533,56,,,,,,
