Date,Competition,,VT,UB,BB,FX,AA
Jul 23-Aug 8,Olympic Games,EF,12.416*,0,0,14.366,0
Jul 23-Aug 8,Olympic Games,AA,15.2,13.5,11.533,13.966,54.199
Jul 23-Aug 8,Olympic Games,QF,15.166,14.133,12.866,14.1,56.265
Jun 24-27,U.S. Olympic Trials,AA,0,13.733,13.433,0,0
Jun 24-27,U.S. Olympic Trials,QF,15.2,11.3,13.266,13.133,52.899
Jun 3-6,U.S. Championships,AA,14.55,13.6,12.75,13.65,54.55
Jun 3-6,U.S. Championships,QF,14.7,13.95,13.55,13.25,55.45
May 21-22,U.S. Classic,AA,0,13.8,12.75,0,0
Feb 26-28,Winter Cup,AA,14.8,13.6,13.55,0,0
