Date,Competition,,VT,UB,BB,FX,AA
Jun 3-6,U.S. Championships,AA,14.55,13.6,14.25,13.3,55.7
Jun 3-6,U.S. Championships,QF,14.7,12.95,12.75,13.45,53.85
May 21-22,U.S. Classic,AA,14,14.05,12.65,13.3,54
24-Apr,American Classic,AA,13.85,14.1,14.3,13.1,55.35
13-Mar,March National Team Camp,AA,14.35,0,14.6,11.95,0
Feb 26-28,Winter Cup,AA,0,0,14.5,12.65,0
