Rank,Gymnast,D Score,E Score,Pen.,Total
1,Zou Jingyuan(CHN),6.9,9.333,,16.233
2,Lukas Dauser(GER),6.7,9,,15.7
3,Ferhat Arıcan(TUR),7,8.633,,15.633
4,You Hao(CHN),6.9,8.566,,15.466
5,David Belyavskiy(ROC),6.6,8.6,,15.2
6,Sam Mikulak(USA),6.4,8.6,,15
7,Petro Pakhniuk(UKR),6.1,8.433,,14.533
8,Joe Fraser(GBR),6.1,8.4,,14.5
