Name,Country,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,vault1_score,vault2_score,vault_avg_score,vault_rank,total_score,total_rank,year
Lilia Akhaimova,ROC,12.9,49.0,12.266,59.0,13.633,11.0,14.766,14.633,14.699,7,53.565,28,2020
Viktoria Listunova,ROC,14.766,6.0,13.866,13.0,14.0,6.0,14.3,0.0,0.0,0,56.932,6,2020
Angelina Melnikova,ROC,14.933,4.0,13.733,17.0,14.0,7.0,14.466,14.766,14.616,9,57.132,4,2020
Vladislava Urazova,ROC,14.866,5.0,14.0,8.0,13.633,10.0,14.6,0.0,0.0,0,57.099,5,2020
Simone Biles,USA,14.566,10.0,14.066,7.0,14.133,2.0,14.966,15.4,15.183,1,57.731,1,2020
Jordan Chiles,USA,12.866,52.0,11.566,78.0,13.566,13.0,14.7,0.0,0.0,0,52.698,40,2020
Sunisa Lee,USA,15.2,2.0,14.2,3.0,13.433,18.0,14.333,0.0,0.0,0,57.166,3,2020
Grace McCallum,USA,14.1,22.0,13.066,32.0,13.466,16.0,14.533,0.0,0.0,0,55.165,13,2020
Lu Yufei,CHN,14.7,7.0,14.1,5.0,12.666,48.0,13.6,0.0,0.0,0,55.066,14,2020
Ou Yushan,CHN,13.5,35.0,13.933,11.0,0.0,0.0,13.633,0.0,0.0,0,0.0,0,2020
Tang Xijing,CHN,14.433,13.0,14.333,2.0,13.366,20.0,14.3,0.0,0.0,0,56.432,8,2020
Zhang Jin,CHN,13.1,42.0,13.966,10.0,13.433,17.0,14.433,0.0,0.0,0,54.932,15,2020
Marine Boyer,FRA,10.4,84.0,13.466,22.0,12.733,44.0,13.733,0.0,0.0,0,50.332,60,2020
Mélanie de Jesus dos Santos,FRA,14.566,11.0,13.233,26.0,13.166,25.0,14.466,0.0,0.0,0,55.431,10,2020
Aline Friess,FRA,13.666,31.0,12.5,51.0,12.5,56.0,14.966,0.0,0.0,0,53.632,25,2020
Carolann Héduit,FRA,13.966,25.0,13.2,28.0,12.9,34.0,14.233,0.0,0.0,0,54.299,18,2020
Maellyse Brassart,BEL,13.366,36.0,13.033,33.0,12.766,39.0,13.766,0.0,0.0,0,52.931,35,2020
Nina Derwael,BEL,15.366,1.0,13.766,15.0,13.566,12.0,13.9,0.0,0.0,0,56.598,7,2020
Lisa Vaelen,BEL,14.1,23.0,12.5,52.0,12.766,40.0,13.0,0.0,0.0,0,52.366,42,2020
Jutta Verkest,BEL,13.633,33.0,13.666,19.0,12.933,31.0,13.4,0.0,0.0,0,53.632,26,2020
Jennifer Gadirova,GBR,13.066,43.0,13.3,24.0,13.8,9.0,14.533,0.0,0.0,0,54.699,17,2020
Jessica Gadirova,GBR,13.8,29.0,12.866,39.0,14.033,5.0,14.5,14.2,14.35,13,55.199,12,2020
Alice Kinsella,GBR,12.633,57.0,12.1,63.0,12.766,41.0,14.166,0.0,0.0,0,51.665,48,2020
Amelie Morgan,GBR,13.833,28.0,13.033,34.0,12.466,57.0,13.858,0.0,0.0,0,53.19,33,2020
Alice D'Amato,ITA,14.233,18.0,12.6,48.0,13.033,28.0,14.333,0.0,0.0,0,54.199,20,2020
Asia D'Amato,ITA,13.933,26.0,13.133,29.0,11.833,76.0,14.233,0.0,0.0,0,53.132,34,2020
Vanessa Ferrari,ITA,0.0,0.0,12.5,52.0,14.166,1.0,14.2,0.0,0.0,0,0.0,0,2020
Martina Maggio,ITA,13.7,30.0,13.066,31.0,12.7,45.0,14.1,0.0,0.0,0,53.566,27,2020
Hitomi Hatakeda,JPN,14.133,21.0,13.0,35.0,13.333,22.0,12.266,0.0,0.0,0,52.732,39,2020
Yuna Hiraiwa,JPN,11.7,71.0,13.533,20.0,12.666,47.0,13.733,0.0,0.0,0,51.632,49,2020
Mai Murakami,JPN,12.133,64.0,13.466,21.0,13.933,8.0,14.433,14.5,14.466,11,53.965,23,2020
Aiko Sugihara,JPN,13.366,36.0,11.566,77.0,13.333,21.0,14.266,0.0,0.0,0,52.531,41,2020
Kim Bui,GER,14.066,24.0,12.666,44.0,13.2,24.0,13.466,0.0,0.0,0,53.398,31,2020
Pauline Schäfer-Betz,GER,11.933,66.0,12.966,36.0,12.733,42.0,13.933,0.0,0.0,0,51.565,50,2020
Elisabeth Seitz,GER,14.7,7.0,12.333,56.0,12.933,31.0,14.266,0.0,0.0,0,54.232,19,2020
Sarah Voss,GER,13.866,27.0,12.266,59.0,12.6,50.0,13.5,0.0,0.0,0,52.232,45,2020
Ellie Black,CAN,12.8,54.0,14.1,6.0,12.266,63.0,14.533,14.3,14.416,12,53.699,24,2020
Brooklyn Moors,CAN,13.0,46.0,13.3,25.0,13.533,15.0,14.133,0.0,0.0,0,53.966,22,2020
Shallon Olsen,CAN,11.9,68.0,12.066,66.0,13.033,29.0,14.966,14.433,14.699,6,51.965,46,2020
Ava Stewart,CAN,12.9,50.0,12.0,67.0,12.6,51.0,12.933,0.0,0.0,0,50.433,58,2020
Eythora Thorsdottir,NED,13.0,47.0,12.333,57.0,13.133,27.0,14.433,0.0,0.0,0,52.899,36,2020
Vera van Pol,NED,13.133,41.0,11.6,75.0,12.9,33.0,14.1,0.0,0.0,0,51.733,47,2020
Lieke Wevers,NED,13.533,34.0,13.366,23.0,12.866,35.0,13.6,0.0,0.0,0,53.365,32,2020
Sanne Wevers,NED,11.733,69.0,13.866,14.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2020
Laura Bechdejú,ESP,12.7,56.0,12.666,45.0,12.3,62.0,13.533,0.0,0.0,0,51.199,53,2020
Marina González,ESP,11.033,81.0,12.366,55.0,12.866,36.0,13.233,0.0,0.0,0,49.498,63,2020
Alba Petisco,ESP,12.866,51.0,11.7,73.0,12.566,53.0,13.466,0.0,0.0,0,50.598,57,2020
Roxana Popa,ESP,14.4,15.0,12.866,40.0,12.533,55.0,14.3,0.0,0.0,0,54.099,21,2020
