Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average
1,Giulia Steingruber,Switzerland,5.8,9.266,,15.066,5.4,9.183,,14.583,14.824
2,Jessica Gadirova,Great Britain,5.4,9.2,,14.6,5.2,9.133,,14.333,14.466
3,Angelina Melnikova,Russia,5.4,9.2,,14.6,5.2,9.033,,14.233,14.416
4,Anastasiia Motak,Ukraine,5.4,8.633,-0.1,13.933,4.8,8.666,,13.466,13.699
5,Tjasa Kysselef,Slovenia,5,8.7,,13.7,4.8,8.833,,13.633,13.666
6,Csenge Bacskay,Hungary,5,8.766,,13.766,4.8,8.733,,13.533,13.649
7,Marina Nekrasova,Azerbaijan,5,7.533,-0.1,12.433,5.2,8.733,,13.933,13.183
8,Sara Peter,Hungary,5.4,7.566,,12.966,0,0,,0,6.483
