Rank,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,medal,Name,Nation,round_2015,round_final
4.0,5.2,8.775,0.0,13.975,5.4,8.55,0.0,13.95,13.962,2014.0,0,46,4,False,True
5.0,5.3,9.025,0.0,14.325,5.0,8.45,0.0,13.45,13.887,2014.0,0,38,3,False,True
6.0,4.8,8.225,0.0,13.025,6.0,8.6,0.0,14.6,13.812,2014.0,0,57,29,False,True
7.0,6.2,7.25,0.0,13.45,6.0,7.45,0.0,13.45,13.45,2014.0,0,0,23,False,True
8.0,5.4,8.425,0.0,13.825,5.8,6.375,0.0,12.175,13.0,2014.0,0,53,29,False,True
1.0,6.3,9.1,0.0,15.4,5.6,8.8,-0.3,14.1,14.75,2015.0,1,48,31,False,True
2.0,5.6,8.933,0.0,14.533,5.0,8.933,0.0,13.933,14.233,2015.0,0,40,11,False,True
3.0,5.0,9.1,0.0,14.1,5.0,8.9,0.0,13.9,14.0,2015.0,0,16,31,False,True
4.0,4.8,8.775,0.0,13.575,5.2,8.6,-0.1,13.7,13.637,2015.0,0,70,22,False,True
5.0,5.0,8.866,0.0,13.866,4.6,8.633,0.0,13.233,13.549,2015.0,0,30,22,False,True
6.0,4.4,8.733,0.0,13.133,4.2,8.6,-0.1,12.7,12.916,2015.0,0,69,1,False,True
7.0,5.0,8.5,0.0,13.5,5.0,7.433,-0.3,12.133,12.816,2015.0,0,20,35,False,True
8.0,5.2,8.6,0.0,13.8,0.0,0.0,0.0,0.0,6.9,2015.0,0,49,23,False,True
1.0,6.4,8.7,0.0,15.1,6.3,9.1,0.0,15.4,15.25,2015.0,1,48,31,False,True
2.0,6.2,9.133,0.0,15.333,5.8,9.166,0.0,14.966,15.149,2015.0,1,32,33,False,True
3.0,6.3,9.033,-0.1,15.233,5.6,9.0,-0.1,14.5,14.866,2015.0,0,41,31,False,True
4.0,5.8,8.9,0.0,14.7,5.6,8.866,0.0,14.466,14.866,2015.0,0,54,24,False,True
5.0,5.8,9.033,0.0,14.833,5.2,9.0,0.0,14.2,14.516,2015.0,0,28,11,False,True
6.0,5.8,8.766,-0.1,14.466,5.2,8.5,0.0,13.7,14.083,2015.0,0,13,11,False,True
7.0,5.8,9.0,0.0,14.8,4.6,8.733,0.0,13.333,14.066,2015.0,0,11,10,False,True
8.0,5.8,7.566,0.0,13.366,5.3,7.766,0.0,13.066,13.216,2015.0,0,71,32,False,True
