       1       1   32.76
       1       2   32.67
       1       3   23.04
       1       4   45.63
       1       5   29.29
       1       6   28.90
       1       7   42.23
       1       8   50.07
       1       9   49.63
       1      10   45.88
       2       1   35.79
       2       2   37.23
       2       3   25.71
       2       4   46.68
       2       5   32.61
       2       6   34.53
       2       7   41.73
       2       8   54.27
       2       9   56.42
       2      10   49.33
       3       1   34.69
       3       2   37.24
       3       3   25.74
       3       4   47.03
       3       5   34.32
       3       6   31.17
       3       7   43.41
       3       8   54.04
       3       9   53.98
       3      10   48.87
       4       1   30.71
       4       2   32.06
       4       3   25.71
       4       4   45.38
       4       5   30.06
       4       6   27.96
       4       7   40.14
       4       8   51.14
       4       9   49.52
       4      10   44.91
