Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average
1,Maria Paseka,Russia,6.3,9.1,,15.4,5.6,8.8,-0.3,14.1,14.75
2,Kelly Simm,Great Britain,5.6,8.933,,14.533,5,8.933,,13.933,14.233
3,Daria Elizarova,Russia,5,9.1,,14.1,5,8.9,,13.9,14
4,Tan Ing Yueh,Malaysia,4.8,8.775,,13.575,5.2,8.6,-0.1,13.7,13.637
5,Farah Ann Abdul Hadi,Malaysia,5,8.866,,13.866,4.6,8.633,,13.233,13.549
6,Simone Penker,Austria,4.4,8.733,,13.133,4.2,8.6,-0.1,12.7,12.916
7,Dilnoza Abdusalimova,Uzbekistan,5,8.5,,13.5,5,7.433,-0.3,12.133,12.816
8,Mariana Vazquez,Mexico,5.2,8.6,,13.8,0,0,,0,6.9
