"TIME_PERIOD","GEO","INDICATOR","VALUE"
"2023";"CH024";"4";42.3
"2023";"CH024";"5";49.7
"2023";"CH024";"6";61.3
"2023";"CH013";"Total";37.5
"2023";"CH013";"1";29.1
"2023";"CH013";"2";36.3
"2023";"CH013";"3";34.1
"2023";"CH013";"4";35.1
"2023";"CH013";"5";41.9
"2023";"CH013";"6";60.2
"2023";"CH025";"Total";49.2
"2023";"CH025";"1";28.4
"2023";"CH025";"2";41.3
"2023";"CH025";"3";45.3
"2023";"CH025";"4";45.8
"2023";"CH025";"5";50.8
"2023";"CH025";"6";58.5
"2022","CH","Total",46.5
"2022","CH","1",30.0
"2022","CH","2",43.1
"2022","CH","3",43.0
"2022","CH","4",42.9
"2022","CH","5",50.6
"2022","CH","6",60.7
"2022","CH040","Total",44.9
"2022","CH040","1",32.4
"2022","CH040","2",45.8
"2022","CH040","3",42.7
"2022","CH040","4",40.3
"2022","CH040","5",49.1
"2022","CH040","6",60.8
"2022","CH021","Total",46.7
"2022","CH021","1",29.5
"2022","CH021","2",43.3
"2022","CH021","3",44.0
"2022","CH021","4",43.9
"2022","CH021","5",50.5
"2022","CH021","6",58.7
"2022","CH061","Total",47.2
"2022","CH061","1",31.5
"2022","CH061","2",46.3
"2022","CH061","3",46.9
"2022","CH061","4",42.7
"2022","CH061","5",49.0
"2022","CH061","6",56.7
"2022","CH062","Total",47.6
"2022","CH062","1",26.3
"2022","CH062","2",42.8
"2022","CH062","3",46.7
"2022","CH062","4",45.2
"2022","CH062","5",48.1
"2022","CH062","6",54.8
"2022","CH063","Total",50.3
"2022","CH063","1",31.0
"2022","CH063","2",45.5
"2022","CH063","3",48.8
"2022","CH063","4",46.5
"2022","CH063","5",52.4
"2022","CH063","6",60.6
"2022","CH064","Total",49.4
"2022","CH064","1",25.9
"2022","CH064","2",44.1
"2022","CH064","3",48.5
"2022","CH064","4",45.6
"2022","CH064","5",51.6
"2022","CH064","6",58.7
"2022","CH065","Total",50.6
"2022","CH065","1",27.9
"2022","CH065","2",46.5
"2022","CH065","3",50.3
"2022","CH065","4",47.8
"2022","CH065","5",52.7
"2022","CH065","6",59.9
"2022","CH051","Total",50.4
"2022","CH051","1",31.2
"2022","CH051","2",46.7
"2022","CH051","3",47.0
"2022","CH051","4",45.1
"2022","CH051","5",51.7
"2022","CH051","6",63.7
"2022","CH066","Total",47.5
"2022","CH066","1",30.5
"2022","CH066","2",47.0
"2022","CH066","3",47.3
"2022","CH066","4",43.6
"2022","CH066","5",49.2
"2022","CH066","6",61.6
"2022","CH022","Total",46.1
"2022","CH022","1",27.1
"2022","CH022","2",42.4
"2022","CH022","3",42.2
"2022","CH022","4",42.5
"2022","CH022","5",50.3
"2022","CH022","6",58.7
"2022","CH023","Total",50.3
"2022","CH023","1",31.3
"2022","CH023","2",46.5
"2022","CH023","3",46.4
"2022","CH023","4",45.4
"2022","CH023","5",54.0
