Rank,Athlete,D,E,ND,Total,year,nation,round
1,Tyesha Mattis,6.1,8.3,0.0,14.4,2015,GBR,final
2,Georgina Hockenhull,5.6,8.1,0.0,13.7,2015,GBR,final
3,Claudia Fragapane,5.6,7.85,0.0,13.45,2015,GBR,final
4,Raer Theaker,5.7,7.05,0.0,12.75,2015,GBR,final
5,Amy Tinkler,5.4,7.15,0.0,12.55,2015,GBR,final
6,Ellie Downie,5.7,6.55,-0.1,12.15,2015,GBR,final
7,Angel Romaeo,4.8,7.05,0.0,11.85,2015,GBR,final
8,Lisa Mason,5.2,6.3,0.0,11.5,2015,GBR,final
