Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average
1,Yeo Seo-jeong,KOR,5.8,8.666,0.0,14.466,5.4,8.666,0.0,14.066,14.266
2,Oksana Chusovitina,UZB,5.4,8.9,0.0,14.3,5.2,8.9,0.0,14.1,14.2
3,Yu Linmin,CHN,5.4,8.833,0.0,14.233,5.2,8.733,0.0,13.933,14.083
4,Alexa Moreno,MEX,5.8,8.633,0.0,14.433,4.8,8.9,0.0,13.7,14.066
5,Ayaka Sakaguchi,JPN,5.4,8.7,0.0,14.1,4.8,8.766,0.0,13.566,13.833
6,Tjasa Kysselef,SLO,4.8,8.833,0.0,13.633,5.0,9.033,0.0,14.033,13.833
7,Paula Mejias,PUR,4.8,8.766,0.0,13.566,4.8,8.7,0.0,13.5,13.533
8,Asuka Ogawa,JPN,5.4,7.758,-0.3,12.858,4.8,8.366,-0.1,13.066,12.962
