Rank,Athlete,D,E,ND,Total,year,nation,round
1,Tyesha Mattis,6.0,8.4,0.0,14.4,2015,GBR,final
2,Ellie Downie,5.8,8.35,0.0,14.15,2015,GBR,final
3,Claudia Fragapane,5.6,8.05,0.0,13.65,2015,GBR,final
4,Amy Tinkler,5.5,7.8,0.0,13.3,2015,GBR,final
5,Raer Theaker,4.8,8.35,0.0,13.15,2015,GBR,final
6,Rebecca Moore,5.1,7.65,0.0,12.75,2015,GBR,final
7,Charlie Fellows,5.3,6.75,0.0,12.05,2015,GBR,final
8,Jade Stedford,5.6,6.4,0.0,12.0,2015,GBR,final
