Rank,Athlete,Nation,D,E,ND,Score
1,Larisa Iordache,Romania,6.3,8.55,,14.85
2,Mary-Anne Monckton,Australia,6.3,8.4,,14.7
3,Phan Thi Ha Thanh,Vietnam,5.9,7.975,,13.875
4,Diana Bulimar,Romania,5.3,8.35,,13.65
5,Dorina Böczögö,Hungary,5.1,8.3,-0.1,13.3
6,Kristyna Palesova,Czech Republic,5.2,7.95,,13.15
7,Ashly Lau,Singapore,5.6,7.225,,12.825
8,Shaden Wohdan,Qatar,4.5,6.45,,10.95
9,Zhanerke Duisek,Kazakhstan,5.5,5.275,,10.775
