Rank,Athlete,Nation,D,E,ND,Score,d2,e2,nd2,score2,Total
1,Larisa Iordache,Romania,5.8,8.775,,14.575,5.2,8.9,,14.1,14.337
2,Teja Belak,Slovenia,5.3,8.8,,14.1,5.3,8.8,,14.1,14.1
3,Hiu Ying Angel Wong,Hong Kong,5.2,8.675,,13.875,5,8.75,,13.75,13.812
4,Courtney McGregor,New Zealand,5.8,8.475,-0.3,13.975,4.8,8.65,,13.45,13.712
5,Valerija Grisane,Latvia,5.2,8.75,-0.1,13.85,5,8.5,,13.5,13.675
6,Dorina Böczögö,Hungary,5,8.95,,13.95,4.4,8.825,,13.225,13.587
7,Do Thi Van Anh,Vietnam,5,8.625,-0.3,13.325,5,8.425,-0.1,13.325,13.325
8,Tjasa Kysselef,Slovenia,4.6,8.5,,13.1,4.8,8.625,,13.425,13.262
