Date,Competition,,VT,UB,BB,FX,AA
Jun 24-27,U.S. Olympic Trials,AA,13.7,13.633,13.133,12.866,53.332
Jun 24-27,U.S. Olympic Trials,QF,13.933,13.766,12.566,12.2,52.465
Jun 3-6,U.S. Championships,AA,14.2,13.9,13.05,12.3,53.45
Jun 3-6,U.S. Championships,QF,14.1,14.3,11.75,12.8,52.95
May 21-22,U.S. Classic,AA,13.5,14,11.75,12,51.25
Feb 26-28,Winter Cup,AA,13.6,14.05,12.15,12.7,52.5
6-Feb,WOGA Classic,AA,13.9,12.45,13.7,13,53.05
