Rank,Gymnast,D Score,E Score,Pen.,Total
1,Simone Biles,6.7,8.533,0.1,15.133
2,Sunisa Lee,5.7,8.433,,14.133
3,Angelina Melnikova,5.8,8.266,,14.066
4,Flávia Saraiva,5.5,8.466,,13.966
5,Mélanie de Jesus dos Santos,5.5,8.433,0.1,13.833
6,Roxana Popa,5.4,8.4,,13.8
7,Brooklyn Moors,5.3,8.4,0.1,13.6
8,Lilia Akhaimova,6,7.8,0.3,13.5
