Rank,Gymnast,D Score,E Score,Pen.,Total
1,Simone Biles,6.4,8.666,,15.066
2,Liu Tingting,6.2,8.233,,14.433
3,Li Shijia,6.1,8.3,0.1,14.3
4,Kara Eaker,5.9,8.1,,14
5,Mélanie de Jesus dos Santos,5.5,8.466,,13.966
6,Flávia Saraiva,5.7,7.7,,13.4
7,Sarah Voss,5.4,7.866,,13.266
8,Ana Padurariu,5.6,6.333,,11.933
