Position,Gymnast,D Score1,E Score1,Pen.1,Score 1,D Score2,E Score2,Pen.2,Score 2,total
1,Simone Biles,6,9.333,,15.333,5.8,9.666,,15.466,15.399
2,Jade Carey,6,9.166,,15.166,5.8,9.1,0.3,14.6,14.883
3,Ellie Downie,5.4,9.2,,14.6,6,9.033,,15.033,14.816
4,Shallon Olsen,5.4,9.2,,14.6,6,8.866,,14.866,14.733
5,Qi Qi,5.4,9.2,,14.6,5.8,8.9,,14.7,14.65
6,Alexa Moreno,5.8,8.766,0.1,14.466,5.6,9.2,,14.8,14.633
7,Lilia Akhaimova,5.8,8.9,,14.7,5.6,8.733,0.3,14.033,14.366
8,Yeo Seo-jeong,6.2,8.033,0.3,13.933,5.4,9.033,,14.433,14.183
