Date,Competition,,VT,UB,BB,FX,AA
Nov 15-18,Junior Pan Am Games Trials,EF,0,13.1,12.25,0,0
Nov 15-18,Junior Pan Am Games Trials,AA,12.95,12.5,12.1,11.95,49.5
Jun 3-6,U.S. Championships,AA,13.4,11.9,13.2,10.55,49.05
Jun 3-6,U.S. Championships,QF,13.6,13.05,11.8,11.85,50.3
May 21-22,U.S. Classic,AA,12.95,12.45,12.15,0,0
24-Apr,American Classic,AA,12.8,11.7,13.1,12.2,49.8
13-Mar,March National Team Camp,AA,13.5,11.5,13.65,12.6,51.25
Feb 26-28,Winter Cup,AA,12.95,13.15,12.1,12.35,50.55
