Rank,Athlete,Nation,D,E,ND,Total
1,Ksenia Afanasyeva,Russia,6.3,8.433,,14.733
2,Claudia Fragapane,Great Britain,6.3,8.333,,14.633
3,Giulia Steingruber,Switzerland,6,8.466,,14.466
4,Erika Fasana,Italy,6,8.3,,14.3
5,Marta Pihan-Kulesza,Poland,6,8.233,,14.233
6,Amy Tinkler,Great Britain,5.9,8.1,,14
7,Maria Kharenkova,Russia,5.8,8.233,-0.1,13.933
8,Andreea Munteanu,Romania,5.5,8.366,,13.866
