Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average
1,Maria Paseka,Russia,6.4,8.7,,15.1,6.3,9.1,,15.4,15.25
2,Giulia Steingruber,Switzerland,6.2,9.133,,15.333,5.8,9.166,,14.966,15.149
3,Ksenia Afanasyeva,Russia,6.3,9.033,-0.1,15.233,5.6,9,-0.1,14.5,14.866
4,Noel van Klaveren,Netherlands,5.8,8.9,,14.7,5.6,8.866,,14.466,14.866
5,Ellie Downie,Great Britain,5.8,9.033,,14.833,5.2,9,,14.2,14.516
6,Claudia Fragapane,Great Britain,5.8,8.766,-0.1,14.466,5.2,8.5,,13.7,14.083
7,Camille Bahl,France,5.8,9,,14.8,4.6,8.733,,13.333,14.066
8,Teja Belak,Slovenia,5.8,7.566,,13.366,5.3,7.766,,13.066,13.216
