Position,Gymnast,D Score,E Score,Penalty,Total
,Kenzo Shirai (JPN),7.6,8.633,,16.233
,Max Whitlock (GBR),6.8,8.766,,15.566
,Rayderley Zapata (ESP),6.7,8.5,,15.2
4.0,Deng Shudi (CHN),6.7,8.466,,15.166
5.0,Daniel Purvis (GBR),6.5,8.6,,15.1
6.0,Kim Han-sol (KOR),6.8,8.133,,14.933
7.0,Manrique Larduet (CUB),6.8,8.0,,14.8
8.0,Tomás González (CHI),6.8,8.033,-0.1,14.733
