Position,Gymnast,D Score,E Score,Penalty,Total
,Max Whitlock (GBR),7.3,8.833,,16.133
,Louis Smith (GBR),7.2,8.833,,16.033
,Harutyun Merdinyan (ARM),6.7,8.8,,15.5
,Kazuma Kaya (JPN),6.8,8.7,,15.5
5.0,Vid Hidvégi (HUN),6.6,8.766,,15.366
6.0,Oleg Verniaiev (UKR),7.0,8.266,,15.266
7.0,Alexander Naddour (USA),6.7,8.5,,15.2
8.0,Robert Seligman (CRO),6.4,8.033,,14.433
