0,1,2,3,4,5,6
Rank,Athlete,Team,D,E,ND,Total
1,Ty Jordan,Region 9,4.8,8.150,,13.876 (+0.926)
2,Caden Clinton,Region 3,4.3,9.200,,13.717 (+0.217)
3,Adam Lakomy,Region 7,4.4,8.500,,13.238 (+0.338)
4,Kiran Mandava,Region 3,4.3,8.700,,13.217 (+0.217)
5,Toma Murakawa,Region 1,4.6,7.700,,12.911 (+0.611)
6,Kai Uemura,Region 5,4.4,7.950,,12.688 (+0.338)
7,Gavin Zborowski,Region 9,4.4,7.750,,12.488 (+0.338)
