Date,Competition,,VT,UB,BB,FX,AA
Aug 18-21,U.S. Championships,AA,13.8,11.2,11.95,12.95,49.9
Aug 18-21,U.S. Championships,QF,13.75,10.9,13.25,12.85,50.75
Jul 29-31,U.S. Classic,AA,14,10.55,12.3,12.7,49.55
Jul 4-5,U.S. Pan Ams Trials,EF,0,0,12.333,0,0
Jul 4-5,U.S. Pan Ams Trials,AA,13.35,10.95,10.55,12.45,47.3
Mar 31-Apr 3,March National Team Camp,AA,13.4,11.15,12.85,13.2,50.6
Feb 24-27,Winter Cup,AA,12.9,9.75,13.4,12.65,48.7
