Position,Gymnast,D Score,E Score,Penalty,Total
1,Larisa Iordache,5.6,7.85,,13.45
2,Göksu Üçtaş Şanlı,4.8,8.3,,13.1
3,Lihie Raz,4.9,7.85,,12.75
4,Diana Varinska,4.7,7.95,,12.65
5,Antonia Duță,4.9,7.8,0.1,12.6
6,Angelina Radivilova,5,7.6,,12.6
7,Zója Székely,4.4,8.1,0.3,12.2
8,Dorina Böczögő,4.9,7.2,,12.1
