Position,Gymnast,D Score,E Score,Penalty,Total
1,Larisa Iordache,6,8,,14
2,Silviana Sfiringu,6,7.8,,13.8
3,Anastasiia Motak,5.8,7.4,0.1,13.1
4,Anastasiia Bachynska,5.7,7.4,,13.1
5,Elina Vihrova,5.2,7.55,,12.75
6,Bilge Tarhan,5.1,7.55,,12.65
7,Christina Zwicker,4.7,7.4,,12.1
8,Elisa Hämmerle,4.3,5.6,,9.9
