Date,Competition,,VT,UB,BB,FX,AA
Mar 18-20,DTB Pokal Team Challenge,AA,14.033,0,13.6,13.533,0
Feb 24-27,Winter Cup,AA,13.9,12.6,13.5,12.85,52.85
12-Feb,WOGA Classic,AA,13.35,13,13.6,13.6,53.55
Jan 21-22,Vegas Cup National Qualifier,AA,13.1,13.3,13.45,12.8,52.65
