Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
1,Sam Mikulak,United States,14.2,14.2,14.3,14.533,14.6,14.766,86.599
2,Wataru Tanigawa,Japan,13.933,13.9,14.5,14.866,14.633,13.833,85.665
3,Kenzo Shirai,Japan,14.433,13.566,13.466,14.766,12.5,14.233,82.964
4,Nikita Ignatyev,Russia,13.8,12.4,14.533,14.2,14.066,13.9,82.899
5,Giarnni Regini-Moran,Great Britain,14.566,12.666,12.666,14.733,14.266,12.133,81.03
6,Bae Ga-ram,South Korea,12.866,12.9,13,13.933,13.833,14,80.532
7,Nestor Abad,Spain,13.766,11.933,13.7,14.1,12.966,14.033,80.498
8,Bart Deurloo,Netherlands,13.933,13.466,12.366,14.1,12.966,11.166,77.997
