Rank,Gymnast,D Score,E Score,Pen.,Total
1,Liu Tingting,6.3,8.233,,14.533
2,Ana Padurariu,6,8.1,,14.1
3,Simone Biles,6.2,7.4,,13.6
4,Nina Derwael,5.4,8.066,,13.466
5,Ellie Black,4.8,8.233,,13.033
6,Kara Eaker,6.2,6.733,0.1,12.833
7,Sanne Wevers,5.3,7.366,,12.666
8,Zhang Jin,5.3,6.2,,11.5
