Rank,Athlete,Nation,D,E,ND,Total
1,Xiao Ruoteng,China,6.6,8.566,,15.166
2,Max Whitlock,Great Britain,6.8,8.366,,15.166
3,Lee Chih Kai,Chinese Taipei,6.3,8.666,,14.966
4,Samuel Mikulak,United States,5.8,8.533,,14.333
5,Nariman Kurbanov,Kazakhstan,6.2,7.2,,13.4
6,Nikita Nagornyy,Russia,5.9,6.633,,12.533
7,David Belyavskiy,Russia,4.8,7.033,,11.833
8,Cyril Tommasone,France,5.8,5.7,,11.5
