Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
72,Antoine Borello,France,13.1,11.633,12.533,12.8,12.2,12.933,75.199
73,Michael Sorokine,Israel,12.033,11.266,12.2,13.666,13.3,12.366,74.831
74,Petar Vefic,Serbia,12.4,11.266,11.566,13.7,12.8,12.733,74.465
75,Devy Dyson,New Zealand,13,10.866,13.366,12.9,12.666,11.6,74.398
76,Le Thanh Tung,Vietnam,12.466,9.7,13,14.566,11.366,13.133,74.231
77,Franz Card,Finland,11.766,11.633,12.7,12.866,12.733,12.533,74.231
78,Randy Leru,Cuba,13.9,6.733,12,13.666,13.9,13.933,74.132
79,Matthias Schwab,Austria,12.066,11.166,12.1,13.3,12.833,12.6,74.065
80,Simao Almeida,Portugal,12.333,10.833,11.966,13.8,13.4,11.6,73.932
81,Raman Antropau,Belarus,13.866,10.233,12.633,13.133,12.833,12.2,73.898
82,Pham Phuoc Hung,Vietnam,12.733,9.933,12.166,11.9,14.366,12.4,73.498
83,Konstantin Kuzovkov,Georgia,12.666,10.8,12.1,14.1,12.166,11.666,73.498
84,Andres Martinez,Colombia,12.266,10.833,11.333,14.2,13.5,11.366,73.498
85,Petrix Barbosa,Portugal,13,10.233,12.8,13.8,13.225,10.2,73.258
86,Reiss Beckford,Jamaica,13.133,8.9,13.233,13,12.733,12.166,73.165
87,Yerbol Jantykov,Kazakhstan,13.2,11.4,9.8,12.766,12.533,13.433,73.132
88,Lee Chih-Kai,Chinese Taipei,13.933,13.7,5.9,14.366,12.6,12.6,73.099
89,Abdulla Azimov,Uzbekistan,12.533,12.266,12.133,13.033,11.466,11.466,72.897
90,Ahmed Al Dyani,Qatar,10.8,11.233,12,13.766,12.333,12.5,72.632
91,Kim Vanström,Sweden,13.466,9.9,12.233,12.8,12.166,12.066,72.631
92,Stephen Lewis,Jamaica,12.5,9.966,12.266,13.8,12.2,11.45,72.182
93,Vitalii Arseniev,Georgia,11.741,10.033,12.566,13.166,13,11.366,71.872
94,Ri Wi Chol,North Korea,11.333,9.7,13.033,13.766,12.6,11.166,71.598
95,Loo Phay Xing,Malaysia,13.166,11.366,10.4,12.333,12.7,11.533,71.498
96,Julian Jato,Argentina,13.166,9.3,12.4,12.966,12.933,10.666,71.431
97,Svjatoslav Solovjev,Czech Republic,12.633,10.95,10.666,13.5,12.2,11.3,71.249
98,Phan Ngoc Hung,Vietnam,11.633,11,11.266,12.7,13.133,11.5,71.232
99,Murad Agharzayev,Azerbaijan,10.566,10.7,12.3,14,12.2,11.333,71.099
100,Rafael Szabo,Romania,12.2,6.633,13.233,13.933,12.9,11.666,70.565
101,Michalis Krasias,Cyprus,12.466,9.966,12.8,13,11.4,10.933,70.565
102,Yordan Aleksandrov,Bulgaria,12.533,11.5,12.733,11.966,9.633,11.1,69.465
103,Valgard Reinhardsson,Iceland,11.966,11.5,12.1,13.233,10.633,9.766,69.198
104,Han Chung Hyo,North Korea,9.266,11.566,11.966,11.9,12.2,11.8,68.698
105,Caleb Faulk,Jamaica,12,8.766,12.333,12.8,11.066,11.466,68.431
106,Israel Chiriboga,Ecuador,13.066,6.666,10.733,13.133,11.466,12.633,67.697
107,Daniel Ponizil,Czech Republic,13.5,11.166,11.966,13.9,12.333,4.266,67.131
108,Saleem Naghouj,Jordan,12.2,8.866,10.266,12.3,11.733,11.366,66.731
109,Wei An Terry Tay,Singapore,9.066,9.666,11.533,13.5,12,10.4,66.165
110,Eythor Baldursson,Iceland,11.266,10.633,11,13.3,8.566,11.266,66.031
111,Timur Bairamov,Azerbaijan,10.433,5.5,11.166,12.933,12.341,10.366,62.739
112,Patricio Razo,Mexico,12.533,3.466,6.4,13.933,12.333,11.733,60.398
113,Ahmed Mosa,Qatar,10.5,6.8,9.8,13.066,10.8,9,59.966
114,Bernardo Almeida,Portugal,11.433,10.5,12.966,0,11.933,12.5,59.332
115,Jamorn Prommannee,Thailand,11.033,4.1,5.9,12.166,13.433,11,57.632
200,Daniel Aguero,Peru,13.5,3.766,12.1,14.2,12.7,DNS,DNF
200,Jon Gunnarsson,Iceland,DNS,9.733,12.7,DNS,DNS,11,DNF
200,Adelin Kotrong,Romania,13.5,8.233,DNS,14.366,DNS,12.266,DNF
200,Arian Leon,Peru,11.466,9.233,10.266,12.733,DNS,11.583,DNF
200,Frank Rijken,Netherlands,13.6,10.233,13.2,DNS,14.033,13,DNF
200,Tikumporn Surintornta,Thailand,13.6,DNS,11.933,13.566,DNS,11.633,DNF
