Rank,Athlete,Nation,D,E,ND,Total
1,Zou Jingyuan,China,7,9.433,,16.433
2,Oleg Verniaiev,Ukraine,6.7,8.891,,15.591
3,Artur Dalaloyan,Russia,6.4,8.966,,15.366
4,Samuel Mikulak,United States,6.4,8.833,,15.233
5,Lin Chaopan,China,6.4,8.8,,15.2
6,Jossimar Calvo,Colombia,6.5,8.533,,15.033
7,David Belyavskiy,Russia,6.4,8.233,,14.633
8,Lukas Dauser,Germany,6,7.7,,13.7
