Rank,Athlete,Nation,D,E,ND,Total
1,Artur Dalaloyan,Russia,6.2,8.7,,14.9
2,Kenzo Shirai,Japan,6.8,8.066,,14.866
3,Carlos Edriel Yulo,Philippines,6.2,8.4,,14.6
4,Yul Moldauer,United States,5.8,8.766,,14.566
5,Artem Dolgopyat,Israel,6.4,8.166,,14.566
6,Nikita Nagornyy,Russia,6.4,8.1,,14.5
7,Samuel Mikulak,United States,5.7,8.533,,14.233
8,Kazuma Kaya,Japan,5.8,8.3,,14.1
9,Ahmet Önder,Turkey,6,7.833,,13.833
