Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
1,Artur Dalaloyan,Russia,14.366,14.066,14.5,14.766,15.066,11.733,84.497
2,Sun Wei,China,12.266,14.4,12.966,15,14.5,14.333,83.465
3,Petro Pakhniuk,Ukraine,13.133,14.333,13.2,14.266,14.833,13.568,83.331
4,Marcel Nguyen,Germany,13.433,13.066,14.4,13.933,14.666,13.366,82.864
5,Akash Modi,United States,13.433,13.466,13.966,14.1,13.233,13.9,82.098
6,Bart Deurloo,Netherlands,13.6,13.833,13.766,14.4,12.2,14.2,81.999
7,Teppei Miwa,Japan,13.8,12.166,13.066,14.733,13.433,14.466,81.664
8,Eddy Yusof,Switzerland,13.366,13.366,13.8,14.366,12.066,13.733,80.697
9,Frank Baines,Great Britain,14.166,13.433,13.033,14.033,13.8,12.166,80.631
