Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Simone Biles,United States,15.266,14.4,14.566,14.633,58.865
2,Shilese Jones,United States,14.266,14.833,14.033,13.8,56.932
3,Jessica Gadirova,Great Britain,14.6,13.766,14,14.4,56.766
4,Rebeca Andrade,Brazil,14.9,13.866,13.8,14.033,56.599
5,Ellie Black,Canada,13.966,14.133,13.566,13.4,55.065
6,Flavia Saraiva,Brazil,13.866,13.6,13.4,13.833,54.699
7,Manila Esposito,Italy,13.766,13.666,13.666,13.6,54.698
8,Qiu Qiyuan,China,13.133,14.9,13.8,12.833,54.666
9,Ou Yushan,China,13.1,14.1,14.066,13.366,54.632
10,Mélanie De Jesus Dos Santos,France,14.366,14.066,12.733,13.3,54.465
11,Leanne Wong,United States,14.166,13.666,13.366,13.2,54.398
12,Naomi Visser,Netherlands,13.233,14.166,13.2,13.733,54.332
13,Kaylia Nemour,Algeria,13,14.733,13.266,12.7,53.699
14,Ondine Achampong,Great Britain,14.3,12.733,13.433,12.866,53.332
15,Alice Kinsella,Great Britain,14,13.533,12.133,13.633,53.299
16,Georgia Godwin,Australia,13.633,13.666,13.133,12.766,53.198
17,Alice D’Amato,Italy,14,13.033,12.533,13.4,52.966
18,Elisa Iorio,Italy,13.233,13.4,13.4,12.933,52.966
19,Ana Barbosu,Romania,13.5,13.366,12.866,13.2,52.932
20,Pauline Schäfer,Germany,12.966,12.966,14.066,12.733,52.731
21,Lee Yunseo,South Korea,13.3,13.633,12.766,13,52.699
22,Alexa Moreno,Mexico,14.566,12.466,12.266,13.033,52.331
23,Sarah Voss,Germany,13.433,12.733,12.866,13.2,52.232
24,Eythora Thorsdottir,Netherlands,13.9,13.266,12.133,12.9,52.199
25,Kishi Rina,Japan,14,12.166,12.7,13.333,52.199
26,Hatakeda Chiaki,Japan,13.5,12.933,13.166,12.6,52.199
27,Filipa Martins,Portugal,13.166,13.333,12.633,12.833,51.965
28,Morgane Osyssek,France,13.333,12.033,13.033,13.433,51.832
29,Jade Barbosa,Brazil,13.833,12.766,12.4,12.833,51.832
30,Miyata Shoko,Japan,14.1,13.366,11.9,12.366,51.732
31,Marine Boyer,France,13.366,12.7,13.4,12,51.466
32,Aleah Finnegan,Philippines,13.4,12.433,12.7,12.833,51.366
33,Lili Czifra,Hungary,13.633,12.733,12.866,12.133,51.365
34,Zoja Szekely,Hungary,13.033,13.866,12.166,12.2,51.265
35,Ruby Pass,Australia,11.9,13.833,12.6,12.733,51.066
36,Alba Petisco,Spain,13.633,12.666,11.566,13.1,50.965
37,Aurélie Tran,Canada,13.233,13.133,11.933,12.6,50.899
38,Anna Lashchevska,Ukraine,12.833,13.133,12.9,11.8,50.666
39,Lena Bickel,Switzerland,13.166,12.266,12.7,12.5,50.632
40,Shin Solyi,South Korea,13.5,12.8,11.8,12.5,50.6
41,Hillary Heron,Panama,14.1,11.733,11.8,12.966,50.599
42,Vera van Pol,Netherlands,13.6,13.066,10.866,13.066,50.598
43,Karla Navas,Panama,13.7,12.766,11.866,11.966,50.298
44,Karina Schönmaier,Germany,13.133,12.933,11.966,12.266,50.298
45,Laura Casabuena,Spain,13.066,12.9,11.233,13.066,50.265
46,Caitlin Rooskrantz,South Africa,13.066,12.9,11.7,12.433,50.099
47,Sona Artamonova,Czechia,13.133,11.533,12.633,12.733,50.032
48,Lihie Raz,Israel,13.033,12.4,12.033,12.533,49.999
49,Lucija Hribar,Slovenia,13.233,12.566,12.2,11.966,49.965
50,Andreea Preda,Romania,12.966,12.733,11.966,12.3,49.965
51,Greta Mayer,Hungary,13.3,11.766,12.466,12.4,49.932
52,Rifda Irfanaluthfi,Indonesia,13.166,12.033,12.3,12.433,49.932
53,Erika Pinxten,Belgium,12.966,11.833,12.7,12.333,49.832
54,Jennifer Williams,Sweden,13.166,12,12.1,12.566,49.832
55,Tonya Paulsson,Sweden,13.4,12.866,10.933,12.6,49.799
56,Selina Kickinger,Austria,13.166,12.6,11.566,12.466,49.798
57,Kaia Tanskanen,Finland,13.333,12.6,11.333,12.466,49.732
58,Natalia Escalera,Mexico,13.5,12.866,10.966,12.333,49.665
59,Halle Hilton,Ireland,12.9,12.033,12.466,12.266,49.665
60,Emelie Westlund,Sweden,12.933,12.633,11.7,12.333,49.599
61,Margaux Dandois,Belgium,11.8,12.866,12.066,12.733,49.465
62,Laia Font,Spain,12.766,12.566,11.866,12.266,49.464
63,Kylee Kvamme,Philippines,13.4,12.266,12.3,11.466,49.432
64,Celeste Mordenti,Luxembourg,12.833,11.833,12.2,12.466,49.332
65,Caleigh Anders,South Africa,13,12.5,11.2,12.5,49.2
66,Thelma Adalsteinsdottir,Iceland,12.3,12.166,12.133,12.5,49.099
67,Liao Yi-Chun,Taiwan,12.666,11.5,12.7,12.033,48.899
68,Anny Wu,Switzerland,12.966,12,11.5,12.333,48.799
69,Bianca Frysak,Austria,12.7,12.2,11.733,12.1,48.733
70,Milagros Curti,Argentina,13.1,11.666,12.633,11.333,48.732
71,Lai Pin-Ju,Taiwan,12.933,11.133,12.8,11.833,48.699
72,Bengisu Yildiz,Türkiye,13.1,12.166,11,12.4,48.666
73,Dildora Aripova,Uzbekistan,11.533,12.6,11.866,12.6,48.599
74,Alice Vlkova,Czechia,13.2,11.666,11.633,12.033,48.532
75,Olivia Kelly,Barbados,13.2,11.666,11.933,11.7,48.499
76,Leni Bohle,Austria,13.1,11.666,11.166,12.4,48.332
77,Maria Tronrud,Norway,12.466,11.766,12.266,11.766,48.264
78,Emma Slevin,Ireland,12.1,11.9,12.066,12.1,48.166
79,Naveen Daries,South Africa,13.133,12.166,11.1,11.733,48.132
80,Barbora Mokosova,Slovakia,11.733,11.933,12.1,12.266,48.032
81,Zala Trtnik,Slovenia,13,10.9,12.233,11.733,47.866
82,Lynnzee Brown,Haiti,13.5,11.1,11.166,12,47.766
83,Dominika Ponizilova,Czechia,13.1,10.433,12.3,11.866,47.699
84,Ting Hua-Tien,Taiwan,12.666,11.533,12,11.433,47.632
85,Nicole Iribarne,Argentina,12.9,11.666,11.3,11.733,47.599
86,Sevgi Kayisoglu,Türkiye,12.7,11.666,11.233,11.8,47.399
87,Camille Rasmussen,Denmark,13.366,11.833,11.2,10.966,47.365
88,Athanasia Mesiri,Greece,13.133,10.066,11.9,12.1,47.199
89,Lana Herrera,Panama,12.833,11.6,11.033,11.6,47.066
90,Sandra Elsadek,Egypt,12.9,10.733,11.833,11.566,47.032
91,Mari Kanter,Norway,12.333,11.6,11.8,11.166,46.899
92,Emma Yap,Singapore,12,10.733,12.133,11.833,46.699
93,Madeleine Marshall,New Zealand,12.7,10.833,11.466,11.533,46.532
94,Anya Pilgrim,Barbados,13.1,10.7,11.3,11.4,46.5
95,Yiseth Valenzuela,Colombia,12.9,10.733,11.066,11.733,46.432
96,Alais Perea,Ecuador,12.7,11.766,10.3,11.633,46.399
97,Olivia Vättö,Finland,12.966,10.433,10.666,12.133,46.198
98,Ginna Escobar,Colombia,12.966,11.533,10.8,10.733,46.032
99,Margret Kristinsdottir,Iceland,12.166,11.1,10.866,11.833,45.965
100,Nadine Joy Nathan,Singapore,12.966,11.466,10.3,11,45.732
101,Lucila Estarli,Argentina,13,9.933,11,11.766,45.699
102,Reece Cobb,New Zealand,11.433,10.8,12.366,11.066,45.665
103,Kaja Skalska,Poland,12.166,10.866,10.9,11.6,45.532
104,Valerija Ratobilska,Latvia,12.033,10.033,11.4,11.8,45.266
105,Ada Hautala,Finland,13,8,12.266,11.966,45.232
106,Mafalda Costa,Portugal,11.8,9.666,11.833,11.933,45.232
107,Ana Karina Mendez,Peru,12.2,11.5,10.933,10.533,45.166
108,Aida Bauyrzhanova,Kazakhstan,12.533,10.5,11.733,10.1,44.866
109,Milka Gehani,Sri Lanka,12.933,9.133,10.966,11.766,44.798
110,Ilona Krupa,Ukraine,12.766,11.433,9.266,11,44.465
111,Makarena Pinto,Chile,12.866,9.366,10.933,11.2,44.365
112,Jana Abdelsalam,Egypt,12.4,8.233,10.666,11.4,42.699
113,Lahna Salem,Algeria,12.266,10.266,10.166,9.833,42.531
114,Lin Yi-Chen,Taiwan,11.733,9.1,10.933,10.2,41.966
115,Anastasija Ananjeva,Latvia,12.433,9.466,9.466,10.566,41.931
–,Zhou Yaqin,China,12.933,0,14.5,13.766,41.199
–,Yeo Seojeong,South Korea,14.733,0,13.066,12.7,40.499
–,Sanna Veerman,Netherlands,13.3,14.2,0,12.333,39.833
–,Lilia Cosman,Romania,13.633,13.033,0,12.733,39.399
–,Breanna Scott,Australia,13.1,0,13.6,12.633,39.333
–,Julia Soares,Brazil,12.866,0,13.2,13.2,39.266
–,Ahtziri Sandoval,Mexico,13.933,13.366,0,11.866,39.165
–,Ava Stewart,Canada,13.466,12.8,0,12.733,38.999
–,Lee Dayeong,South Korea,13.266,13.133,0,12.533,38.932
–,Zhang Qingying,China,13.266,11.066,14.1,0,38.432
–,Cassandra Loustalot,Mexico,13.066,0,12.3,12.866,38.232
–,Ana Perez,Spain,0,12.933,12.966,12.333,38.232
–,Fukasawa Kokoro,Japan,13.466,12.033,0,12.633,38.132
–,Emily Whitehead,Australia,12.166,12.8,0,12.766,37.732
–,Jutta Verkest,Belgium,13.033,0,11.766,12.5,37.299
–,Garcelle Napier,South Africa,13.1,11.466,0,12.166,36.732
–,Elina Grawin,Sweden,12.3,0,11.933,12.3,36.533
–,Fien Enghels,Belgium,0,13.033,10.533,12.6,36.166
–,Cassie Lee,Canada,13.1,0,9.7,12.666,35.466
–,Nazanin Teymurova,Azerbaijan,12.9,0,11.133,11.233,35.266
–,Adeliina Siikala,Finland,12.766,0,11.3,10.5,34.566
–,Joscelyn Roberson,United States,14.466,0,0,13.633,28.099
–,Sabrina Voinea,Romania,0,0,13.666,13.666,27.332
–,Georgia-Mae Fenton,Great Britain,0,14.033,13.266,0,27.299
–,Arianna Belardelli,Italy,13.833,0,0,13.266,27.099
–,Lorette Charpy,France,0,14.133,12.4,0,26.533
–,Meolie Jauch,Germany,13.066,13.466,0,0,26.532
–,Coline Devillard,France,14.4,0,0,11.9,26.3
–,Ruby Evans,Great Britain,13.066,0,0,13.166,26.232
–,Skye Blakely,United States,0,14.133,11.866,0,25.999
–,Kate McDonald,Australia,0,13.9,12.066,0,25.966
–,Angela Andreoli,Italy,0,12.666,13.2,0,25.866
–,Charlize Mörz,Austria,12.7,0,0,12.766,25.466
–,Maellyse Brassart,Belgium,13.133,12.266,0,0,25.399
–,Lea Marie Quaas,Germany,0,0,12.566,12.7,25.266
–,Csenge Bacskay,Hungary,13.8,11.3,0,0,25.1
