Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Rebeca Andrade,Brazil,15.166,13.8,13.533,14.4,56.899
2,Shilese Jones,United States,14.233,14.366,13.1,13.7,55.399
3,Jessica Gadirova,Great Britain,13.833,13.233,13.733,14.4,55.199
4,Alice Kinsella,Great Britain,14.166,14.166,13.1,13.633,55.065
5,Ellie Black,Canada,14.033,13.933,13.433,13.333,54.732
6,Jade Carey,United States,14.733,13.166,12.633,14.166,54.698
7,Ou Yushan,China,13.1,13.2,13.866,13.733,53.899
8,Miyata Shoko,Japan,14.233,12.866,12.966,13.733,53.798
9,Martina Maggio,Italy,14.033,12.8,13.033,13.866,53.732
10,Alice D’Amato,Italy,14.166,13.266,12.533,13.066,53.031
11,Lisa Vaelen,Belgium,14.2,13.8,11.333,13.366,52.699
12,Georgia Godwin,Australia,13.766,13.5,12.4,13.033,52.699
13,Maisa Kuusikko,Finland,13.5,13.3,12.466,12.733,51.999
14,Yamada Chiharu,Japan,13.166,13.466,12.233,13.1,51.965
15,Maellyse Brassart,Belgium,13.266,13.766,11.733,13.133,51.898
16,Tisha Volleman,Netherlands,13.4,13.133,12.333,12.666,51.532
17,Lee Yunseo,South Korea,12.9,13.066,12.766,12.6,51.332
18,Naomi Visser,Netherlands,13,12.033,11.866,13.766,50.665
19,Carolann Heduit,France,13.433,13.266,11.933,11.9,50.532
20,Ana Barbosu,Romania,13.1,12.766,12.733,11.933,50.532
21,Aline Friess,France,13,13,11.466,12.8,50.266
22,Karina Schönmaier,Germany,13.066,12.133,11.666,12.566,49.431
23,Romi Brown,Australia,13.166,13.466,11.2,11.433,49.265
24,Laura Casabuena,Spain,13.2,12.3,7.5,13.333,46.333
