Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Max Whitlock,Great Britain,7.2,8.766,,15.966
2,Louis Smith,Great Britain,6.9,8.933,,15.833
3,Alexander Naddour,United States,6.8,8.9,,15.7
4,Cyril Tommasone,France,6.9,8.7,,15.6
5,David Belyavskiy,Russia,6.6,8.8,,15.4
6,Nikolai Kuksenkov,Russia,6.8,8.433,,15.233
7,Harutyun Merdinyan,Armenia,6.4,8.533,,14.933
8,Oleg Verniaiev,Ukraine,5.7,6.7,,12.4
