Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Eleftherios Petrounias,Greece,6.8,9.2,,16
2,Arthur Zanetti,Brazil,6.8,8.966,,15.766
3,Denis Ablyazin,Russia,6.8,8.9,,15.7
4,Liu Yang,China,6.9,8.7,,15.6
5,Igor Radivilov,Ukraine,6.8,8.666,,15.466
6,You Hao,China,7,8.4,,15.4
7,Danny Pinheiro Rodrigues,France,6.9,8.333,,15.233
8,Dennis Goossens,Belgium,6.6,8.333,,14.933
