Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Oleg Verniaiev,Ukraine,7.1,8.941,,16.041
2,Danell Leyva,United States,6.9,9,,15.9
3,David Belyavskiy,Russia,6.9,8.883,,15.783
4,Deng Shudi,China,7.2,8.566,,15.766
5,Manrique Larduet,Cuba,7.1,8.525,,15.625
6,Andrei Muntean,Romania,6.6,9,,15.6
7,Ryōhei Katō,Japan,6.8,8.433,,15.233
8,You Hao,China,7.4,7.433,,14.833
