Rank,Athlete,Nation,D,E,ND,Total
1,Marta Pihan-Kulesza,Poland,5.8,8.425,,14.225
2,Andreea Munteanu,Romania,5.5,8.325,,13.825
3,Filipa Martins,Portugal,5.3,8.175,,13.475
4,Ayelen Tarabini,Argentina,5.3,8.125,-0.1,13.325
5,Lisa Ecker,Austria,5,7.95,,12.95
6,Dorina Böczögö,Hungary,5.2,7.75,-0.1,12.85
7,Tutya Yilmaz,Turkey,5.2,7.125,-0.4,11.925
8,Argyro Afrati,Greece,4.9,7.175,-0.3,11.775
