Team,vault_score,vault_rank,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,total_score,total_rank
China,61.825,2,62.65,1,63.05,2,60.75,1,248.275,1
Yang Yilin(CHN),15.2,12,16.65,1,15.5,11,15,10,62.35,3
Jiang Yuyuan(CHN),14.775,38,15.55,9,15.25,15,15.05,8,60.625,7
Deng Linlin(CHN),15.225,10,14.725,29,15.55,9,14.95,12,60.45,9
Cheng Fei(CHN),16.15,1,,15.875,5,15.75,1,47.775,62,
He Kexin(CHN),15.25,9,15.725,6,,,30.975,79,,
Li Shanshan(CHN),,,16.125,1,14.2,40,30.325,82,,
United States,62.225,1,61.125,3,63.4,1,60.05,2,246.8,2
Shawn Johnson(USA),16,2,15.325,11,15.975,3,15.425,3,62.725,1
Nastia Liukin(USA),15.1,16,15.95,5,15.975,2,15.35,4,62.375,2
Bridget Sloan(USA),15.275,7,14.8,25,15.5,10,14.85,14,60.425,11
Alicia Sacramone(USA),15.85,3,,15.95,4,14.425,31,46.225,63,
Chellsie Memmel(USA),,15.05,16,,,15.05,94,,,
Samantha Peszek(USA),,14.8,23,,,14.8,96,,,
Russia,60.85,3,61.775,2,62,3,59.775,3,244.4,3
Ksenia Semenova(RUS),14.75,40,16.475,2,15.775,8,14.475,29,61.475,4
Anna Pavlova(RUS),15.35,6,14.6,35,15.825,6,15.125,7,60.9,5
Ksenia Afanasyeva(RUS),15.175,13,14.825,21,15.775,7,15.025,9,60.8,6
Ekaterina Kramarenko(RUS),15.15,15,15.5,10,14.625,36,15.15,6,60.425,10
Svetlana Klyukina(RUS),15.175,14,14.975,18,,13.95,53,44.15,65,
Ludmila Grebenkova(RUS),,,14.6,37,,14.6,97,,,
Romania,59.725,4,58.45,9,60.95,4,59.3,4,238.425,4
Steliana Nistor(ROU),14.9,27,15.975,4,15.075,22,14.55,24,60.5,8
Sandra Izbaşa(ROU),15.1,20,13.575,65,15.225,16,15.475,2,59.375,13
Anamaria Tămârjan(ROU),15.025,23,14.275,51,15.2,17,14.5,27,59,16
Gabriela Drăgoi(ROU),,14.225,53,15.45,12,14.25,38,43.925,66,
Andreea Acatrinei(ROU),14.35,53,,14.175,52,14.775,16,43.3,71,
Andreea Grigore(ROU),14.7,43,13.975,59,,,28.675,88,,
Australia,59.45,5,59.05,6,58.625,8,58.325,6,235.45,5
Shona Morgan(AUS),14.7,45,14.5,39,15.35,14,14.525,25,59.075,15
Georgia Bonora(AUS),14.85,29,14.5,38,15.025,24,14.525,26,58.9,18
Ashleigh Brennan(AUS),14.775,37,13.7,62,14.15,54,14.625,19,57.25,30
Daria Joura(AUS),15.1,18,15.125,13,12.475,80,13.45,70,56.15,44
Lauren Mitchell(AUS),14.725,42,,14.1,57,14.65,17,43.475,68,
Olivia Vivian(AUS),,14.925,20,,,14.925,95,,,
France,58.825,10,58.525,8,58.975,7,57.55,8,233.875,6
Marine Petit(FRA),14.85,31,14.325,48,14.8,29,14.375,32,58.35,20
Laetitia Dugain(FRA),14.35,52,14.625,34,14.975,26,14.325,33,58.275,22
Pauline Morel(FRA),14.275,55,14.8,24,13.75,69,14.625,20,57.45,29
Katheleen Lindor(FRA),14.9,26,14.7,30,14.575,40,,44.175,64,
Rose-Eliandre Bellemare(FRA),14.725,41,14.4,43,,14.225,39,43.35,70,
Marine Debauve(FRA),,,14.625,35,14.1,49,28.725,87,,
Brazil,59.45,5,58.425,10,56.675,11,59.25,5,233.8,7
Jade Barbosa(BRA),15.1,17,14.8,22,14.7,32,14.9,13,59.5,12
Ana Cláudia Silva(BRA),14.75,39,14.55,36,13.475,73,14.8,15,57.575,28
Ethiene Franco(BRA),14.175,61,14.1,55,14.4,42,14.275,35,56.95,36
Laís Souza(BRA),14.8,36,14.775,26,13.575,71,,43.15,73,
Daniele Hypólito(BRA),,14.3,50,14,61,14.25,37,42.55,75,
Daiane dos Santos(BRA),14.8,35,,,15.275,5,30.075,83,,
Japan,58.05,11,58.725,7,59.9,5,56.5,11,233.175,8
Koko Tsurumi(JPN),14.2,58,15.025,17,15.425,13,14.325,34,58.975,17
Kyoko Oshima(JPN),14.7,43,14.45,42,14.3,47,14.175,42,57.625,27
Miki Uemura(JPN),14.475,50,12.775,76,14.575,38,12.875,76,54.7,50
Yuko Shintake(JPN),14.675,48,,15.05,23,14.175,41,43.9,67,
Yu Minobe(JPN),14.05,68,14.525,37,,13.825,59,42.4,76,
Mayu Kuroda(JPN),,14.725,28,14.85,28,,29.575,84,,
Great Britain,59.325,7,57.875,11,57.45,10,57.775,7,232.425,9
Becky Downie(GBR),15.05,22,14.65,33,14.225,50,14.15,43,58.075,24
Imogen Cairns(GBR),14.85,30,13.475,68,14.175,51,14.55,23,57.05,33
Marissa King(GBR),14.875,28,13.475,69,14.325,46,13.75,62,56.425,42
Rebecca Wing(GBR),14.55,49,14.1,56,14.575,39,,43.225,72,
Hannah Whelan(GBR),13.5,79,,14.325,45,14.125,46,41.95,77,
Beth Tweddle(GBR),,15.65,8,,14.95,11,30.6,80,,
Italy,59.075,9,57.375,12,58.2,9,56.625,10,231.275,10
