Position,Gymnast,D Score,E Score,Penalty,Total
1,Huang Huidan(CHN),6.6,8.8,,15.4
2,Kyla Ross(USA),6.4,8.866,,15.266
3,Aliya Mustafina(RUS),6.5,8.533,,15.033
4,Simone Biles(USA),6.1,8.616,,14.716
5,Sophie Scheder(GER),6.4,8.283,,14.683
6,Yao Jinnan(CHN),6.9,7.733,,14.633
7,Ruby Harrold(GBR),6.3,8.033,,14.333
8,Becky Downie(GBR),6.4,7.4,,13.8
