Rank,Athlete,Nation,D,E,ND,Total
1,Ragan Smith,United States,6.4,8.825,,15.225
2,Aly Raisman,United States,6.5,8.6,,15.1
3,Nagi Kajita,Japan,5.6,8.1,,13.7
4,Charlotte Sullivan,New Zealand,5.4,8.225,,13.625
5,Megan Roberts,Canada,5.4,8.2,,13.6
6,Courtney McGregor,New Zealand,5.6,7.975,,13.575
7,Shallon Olsen,Canada,5.7,7.775,,13.475
8,Kiara Munteanu,Australia,5.3,8.15,,13.45
9,Emily Little,Australia,5.5,7.15,,12.65
