Rank,Athlete,Nation,D,E,ND,Total
1,Ferhat Arican,Turkey,7,8.566,,15.566
2,Petro Pakhniuk,Ukraine,6.6,8.4,,15
3,Caio Souza,Brazil,6.1,8.533,,14.633
4,Milad Karimi,Kazakhstan,6,8.566,,14.566
5,Nestor Abad,Spain,5.8,8.5,,14.3
6,Nicolau Mir,Spain,5.5,8.7,,14.2
7,Francisco Barretto,Brazil,6,8,,14
8,Ahmet Önder,Turkey,6.2,7.633,,13.833
