Rank,Athlete,Nation,D,E,ND,Total
1,Marios Georgiou,Cyprus,5.8,8.466,,14.266
2,Milad Karimi,Kazakhstan,5.8,8.266,,14.066
3,Joel Plata,Spain,6,8.033,,14.033
4,Francisco Barretto,Brazil,6,7.966,,13.966
5,Ahmet Önder,Turkey,5.7,8.233,,13.933
6,Arthur Mariano,Brazil,6.1,7.566,,13.666
7,Nicolau Mir,Spain,5,6.666,,11.666
8,Omar Mohamed,Egypt,4.7,5.966,,10.666
9,Adem Asil,Turkey,5.3,5.366,,10.666
