Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
93,ilias georgiou,CYP,11.7,10.133,13.166,13.733,14.1,13.2,76.032,qual,2019.0
94,adickxon trejo,VEN,12.566,12.466,11.166,13.8,13.266,12.633,75.897,qual,2019.0
95,valgard reinhardsson,ISL,13.366,11.766,12.466,13.966,11.6,12.7,75.864,qual,2019.0
96,ilyas azizov,KAZ,12,12.566,12.5,13.533,12.866,12.266,75.731,qual,2019.0
97,matvei petrov,ALB,11.433,12.1,13.158,12.866,13.533,12.566,75.656,qual,2019.0
98,pietro giachino,NOR,13.266,12.466,12.866,12.7,12.2,12.1,75.598,qual,2019.0
99,stian skjerahaug,NOR,14.1,10.566,11.233,13.966,12.966,12.633,75.464,qual,2019.0
100,devy dyson,NZL,12.4,11.166,13.3,12.9,12.533,13.033,75.332,qual,2019.0
101,dawid weglarz,POL,13.2,12.366,11.5,13.466,12.933,11.733,75.198,qual,2019.0
102,karl idesjö,SWE,13.6,9.466,12.866,13.366,13.733,12.166,75.197,qual,2019.0
103,rafael rosendi,CUB,12.266,10.841,12.575,13.266,13.1,13.066,75.114,qual,2019.0
104,isaac cotto,PUR,12.066,12.6,12.766,13.933,13.35,10.366,75.081,qual,2019.0
105,daniel radovesnicky,CZE,12.966,10.6,11.733,13.333,13.5,12.9,75.032,qual,2019.0
106,ahmed al dyani,QAT,12.366,13.133,12.1,13.4,12.366,11.666,75.031,qual,2019.0
107,olegs ivanovs,LAT,12.833,10.3,12.266,13.866,12.966,12.733,74.964,qual,2019.0
108,benedek tomcsanyi,HUN,12.533,10.633,12.533,13.766,12.833,12.666,74.964,qual,2019.0
109,reiss beckford,JAM,12.933,10.866,12.966,13.666,12.033,12.433,74.897,qual,2019.0
110,fabian de luna,MEX,12.4,10.833,14.066,14,12.633,10.933,74.865,qual,2019.0
111,daniel villafañe,ARG,12.3,11,13.266,13.975,12.133,12.133,74.807,qual,2019.0
112,tomas kuzmickas,LTU,13.033,10.933,11.933,13.366,13.666,11.733,74.664,qual,2019.0
113,bernardo almeida,POR,13.066,9.9,12.733,13.666,12.7,12.533,74.598,qual,2019.0
114,bojan dejanovic,SRB,13,11.966,11.766,13.6,11.8,12.433,74.565,qual,2019.0
115,hillal metidji,ALG,12.366,12.8,11.466,14,13.358,10.566,74.556,qual,2019.0
116,khabibullo ergashev,UZB,13.133,12.666,12.866,12.333,10.633,12.666,74.297,qual,2019.0
117,murad agharzayev,AZE,13.033,11.133,12.133,13.733,12.766,11.4,74.198,qual,2019.0
118,konstantin kuzovkov,GEO,13.933,10.5,12.533,13.566,12.2,11.433,74.165,qual,2019.0
119,matthias schwab,AUT,13.133,9.533,12.066,13.6,13.033,12.7,74.065,qual,2019.0
120,lukasz borkowski,POL,12.833,11.533,12.566,13.766,11.633,11.666,73.997,qual,2019.0
121,filip sasnal,POL,12,11.533,12.566,12.666,12.9,12.2,73.865,qual,2019.0
122,ashish kumar,IND,13.5,10.1,12.766,12.4,13.1,11.766,73.632,qual,2019.0
123,rihards trams,LAT,12.866,11.5,11.833,13.633,11.366,12.366,73.564,qual,2019.0
124,israel chiriboga,ECU,12.633,12.2,12.2,12.1,13.233,11.166,73.532,qual,2019.0
125,joel alvarez,CHI,12.866,8.633,12.066,13.733,13.2,12.9,73.398,qual,2019.0
126,razvan-denis marc,ROU,13,11.4,12.333,13.4,10.866,12.233,73.232,qual,2019.0
127,jesus moreto,PER,12.6,11.8,11,13.416,13,11.333,73.149,qual,2019.0
128,aditya rana,IND,13,10.533,12.766,12.133,13.066,11.6,73.098,qual,2019.0
129,slavomir michnak,SVK,11.3,12.366,12.133,12.133,12.6,12.5,73.032,qual,2019.0
130,vlada rakovic,SRB,12.4,11.466,12.7,12.566,10.766,13.033,72.931,qual,2019.0
131,vitalijs kardasovs,LAT,12.966,10.6,11.3,13.633,12.033,12.133,72.665,qual,2019.0
132,bidzina sitchinava,GEO,12.7,11,11.933,12.933,12.166,11.833,72.565,qual,2019.0
133,enkhtulga altansukh,MGL,12.666,9.833,11.733,13.766,11.7,12.533,72.231,qual,2019.0
134,joseph fox,TRI,11.866,11.166,12.2,12.766,12.066,12.133,72.197,qual,2019.0
135,jamorn prommanee,THA,12.7,10.9,11.4,12.766,13.333,11.066,72.165,qual,2019.0
136,saleem naghouj,JOR,12.266,10.5,11.5,13.7,11.866,12.1,71.932,qual,2019.0
137,manuel martinez,COL,10.966,11.7,12.7,13.5,10.033,12.866,71.765,qual,2019.0
138,ioane jimsheleishvili,GEO,13.3,8.966,11.6,13.7,12.1,12,71.666,qual,2019.0
139,kevin crovetto,MON,11.633,11.2,11.4,12.9,11.933,12.1,71.166,qual,2019.0
140,toma modoianu-zseder,ROU,10.633,9.316,12.933,13.4,12.866,11.9,71.048,qual,2019.0
141,jose lopez,PUR,10.366,9.366,12.9,13.9,12.2,12.233,70.965,qual,2019.0
142,frantisek cerny,CZE,13.266,10.133,12.266,12.5,10.566,12.166,70.897,qual,2019.0
—,yuya kamoto,JPN,13.866,——,14.283,13.966,14.7,14.033,70.848,qual,2019.0
143,ri wi chol,none,13.166,9.8,11.633,13.8,12.333,10.033,70.765,qual,2019.0
144,victor rostagno,URU,13.2,9.066,12.633,12.266,11.166,12.066,70.397,qual,2019.0
—,eddy yusof,SUI,13.9,——,13.733,14.466,14.266,13.866,70.231,qual,2019.0
145,tarik soto,CRC,11.866,10.975,10.508,13.033,12.166,11.166,69.714,qual,2019.0
—,nicolau mir,ESP,14.533,——,13.1,14.366,14.433,13.266,69.698,qual,2019.0
146,petar vefic,SRB,13,9.5,11.066,13.433,10.033,12.566,69.598,qual,2019.0
147,andres valverde,CRC,12.233,11.166,11.1,13.433,11.966,9.066,68.964,qual,2019.0
—,arthur mariano,BRA,14.166,12.466,——,14.575,12.8,14.6,68.607,qual,2019.0
—,lee jun-ho,SKR,14.366,12.8,——,14.366,13.325,13.333,68.19,qual,2019.0
148,arian leon prado,PER,12.766,7.733,11.8,13.133,11.933,10.433,67.798,qual,2019.0
—,samuel zakutney,CAN,13.433,12.333,——,14.266,13.866,13.5,67.398,qual,2019.0
149,martin gudmundsson,ISL,11.666,5.333,11.5,13.4,12.166,12.2,66.265,qual,2019.0
—,ilya yakauleu,BLR,12.366,——,13.141,14.366,13.233,12.866,65.972,qual,2019.0
150,fabio chicas,ESA,10.833,10.366,10.733,12.2,11.966,8.966,65.064,qual,2019.0
—,yunus gündogdu,TUR,13.066,11.533,13.666,13.733,11.466,——,63.464,qual,2019.0
—,eeli mikkola,FIN,——,11.6,11.866,13,12.9,12.733,62.099,qual,2019.0
—,yerbol jantykov,KAZ,13.5,——,11.933,12.7,9.566,13.6,61.299,qual,2019.0
151,gerardo cabrera,URU,10.633,4.5,10.4,13.133,10.633,10.333,59.632,qual,2019.0
—,daiki hashimoto,JPN,14.433,14.883,——,14.766,——,14.366,58.448,qual,2019.0
152,meshari al deriwish,KUW,9.7,8.166,9.2,10.433,10.166,10.066,57.731,qual,2019.0
153,abellino rubio,GUA,10.233,3.6,11.033,11.3,10.9,10.433,57.499,qual,2019.0
154,nabil zouhair,MAR,11.766,2.4,10.633,12.7,9.266,9.033,55.798,qual,2019.0
155,ali al jafar,KUW,11.766,7,9.233,11.8,4.133,10.633,54.565,qual,2019.0
—,shane wiskus,USA,13.466,12.866,——,——,14.033,14.166,54.531,qual,2019.0
—,christian baumann,SUI,——,12.733,13.533,——,14.566,13.333,54.165,qual,2019.0
—,marco lodadio,ITA,13.533,——,14.666,12.8,12.966,——,53.965,qual,2019.0
—,park min-soo,SKR,——,12.966,13.766,——,13,13.9,53.632,qual,2019.0
—,gabriel swan,AUS,12.533,——,12.5,14.366,——,13.666,53.065,qual,2019.0
—,adria vera,ESP,——,13.033,12.9,14.433,——,12.5,52.866,qual,2019.0
