Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
19,colt walker,Unknown,13.1,13.1,13.0,14.25,13.7,12.75,79.9,final,
20,matt wenske,Unknown,13.45,13.05,13.65,14.05,13.2,12.2,79.6,final,
21,genki suzuki,Unknown,13.8,13.85,13.5,13.5,12.5,11.65,78.8,final,
21,timothy wang,Unknown,14.0,12.6,13.1,13.45,13.05,12.6,78.8,final,
23,donothan bailey,Unknown,13.6,13.0,13.35,14.0,12.45,12.3,78.7,final,
24,marvin kimble,Unknown,11.5,14.05,14.2,13.7,11.45,13.55,78.45,final,
25,garrett braunton,Unknown,12.45,12.7,13.15,13.75,12.75,13.3,78.1,final,
26,michael moran,Unknown,13.95,12.75,12.25,14.1,12.45,12.45,77.95,final,
27,bennet huang,Unknown,13.75,12.2,12.2,13.7,13.1,12.95,77.9,final,
28,jack freeman,Unknown,13.35,11.7,13.35,13.4,12.9,12.15,76.85,final,
29,taylor burkhart,Unknown,12.95,13.4,12.45,13.85,13.65,10.1,76.4,final,
30,kiwan watts,Unknown,12.05,11.85,12.75,13.75,13.85,11.4,75.65,final,
31,mathew davis,Unknown,12.65,12.35,12.65,13.3,12.25,12.1,75.3,final,
32,anthony mills,Unknown,12.2,12.15,12.0,13.15,12.85,12.4,74.75,final,
33,alexei vernyi,Unknown,13.15,12.25,11.8,13.35,11.95,12.2,74.7,final,
34,brennan pantazis,Unknown,12.8,11.25,12.05,13.45,12.6,10.9,73.05,final,
35,benjamin bloom,Unknown,12.5,12.5,11.45,13.0,11.9,11.35,72.7,final,
36,eddie penev,Unknown,13.9,12.0,0.0,14.25,12.25,11.9,64.3,final,
37,adrian de los angeles,Unknown,14.05,10.8,0.0,13.6,12.65,12.75,63.85,final,
38,jordan kovach,Unknown,0.0,12.45,12.7,12.1,11.8,12.15,61.2,final,
39,alex diab,Unknown,13.4,0.0,14.6,13.7,0.0,12.5,54.2,final,
40,alec yoder,Unknown,0.0,14.7,0.0,0.0,0.0,0.0,14.7,final,
41,frankie valentin,Unknown,0.0,12.7,0.0,0.0,0.0,0.0,12.7,final,
