Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
43,3.9,7.95,0.0,11.85,2019,0,103,2,False,True
44,3.8,7.85,0.0,11.65,2019,0,173,49,False,True
45,3.8,7.75,0.0,11.55,2019,0,83,54,False,True
46,4.5,7.05,0.0,11.55,2019,0,0,70,False,True
47,3.8,7.2,0.0,11.0,2019,0,32,50,False,True
48,4.8,6.2,0.0,11.0,2019,0,198,57,False,True
49,4.2,6.7,0.0,10.9,2019,0,108,11,False,True
50,4.2,6.2,0.0,10.4,2019,0,219,8,False,True
1,6.6,8.4,0.0,15.0,2019,0,111,73,True,False
2,6.2,8.783,0.0,14.983,2019,0,8,66,True,False
3,6.3,8.666,0.0,14.966,2019,0,122,37,True,False
4,6.4,8.566,0.0,14.9,2019,0,242,13,True,False
5,6.5,8.4,0.0,14.9,2019,1,73,66,True,False
6,6.2,8.266,0.0,14.466,2019,0,218,13,True,False
7,6.5,7.7,0.0,14.2,2019,0,187,67,True,False
8,6.3,7.533,0.0,13.833,2019,1,144,73,True,False
1,6.3,8.733,0.0,15.033,2019,1,144,73,False,True
2,6.5,8.533,0.0,15.033,2019,0,187,67,False,True
3,6.6,8.4,0.0,15.0,2019,0,111,73,False,True
4,6.2,8.766,0.0,14.966,2019,0,242,13,False,True
5,6.5,8.433,0.0,14.933,2019,1,73,66,False,True
6,6.2,8.6,0.0,14.8,2019,0,218,13,False,True
6,6.2,8.6,0.0,14.8,2019,0,8,66,False,True
8,6.3,8.5,0.0,14.8,2019,0,122,37,False,True
9,6.4,8.4,0.0,14.8,2019,0,172,58,False,True
10,6.6,8.2,0.0,14.8,2019,0,178,67,False,True
11,6.4,8.333,0.0,14.733,2019,0,27,58,False,True
12,6.5,8.2,0.0,14.7,2019,0,251,37,False,True
13,6.2,8.466,0.0,14.666,2019,0,182,61,False,True
14,6.1,8.533,0.0,14.633,2019,0,38,9,False,True
15,6.2,8.433,0.0,14.633,2019,0,119,37,False,True
16,6.3,8.333,0.0,14.633,2019,1,252,13,False,True
17,5.9,8.666,0.0,14.566,2019,0,44,61,False,True
18,6.1,8.433,0.0,14.533,2019,0,9,69,False,True
19,6.4,8.066,0.0,14.466,2019,0,58,13,False,True
19,6.4,8.066,0.0,14.466,2019,0,60,72,False,True
21,5.8,8.633,0.0,14.433,2019,0,171,23,False,True
22,5.9,8.533,0.0,14.433,2019,0,42,52,False,True
22,5.9,8.533,0.0,14.433,2019,0,17,57,False,True
22,5.9,8.533,0.0,14.433,2019,0,180,61,False,True
25,6.0,8.4,0.0,14.4,2019,0,249,69,False,True
26,5.6,8.733,0.0,14.333,2019,0,191,70,False,True
27,5.9,8.433,0.0,14.333,2019,0,67,47,False,True
28,6.4,7.933,0.0,14.333,2019,0,207,69,False,True
29,5.5,8.766,0.0,14.266,2019,0,21,8,False,True
30,5.8,8.466,0.0,14.266,2019,0,104,11,False,True
30,5.8,8.466,0.0,14.266,2019,0,135,59,False,True
32,5.9,8.366,0.0,14.266,2019,0,101,58,False,True
32,5.9,8.366,0.0,14.266,2019,0,62,61,False,True
34,5.4,8.7,0.0,14.1,2019,0,92,17,False,True
35,5.6,8.5,0.0,14.1,2019,0,201,41,False,True
36,5.4,8.666,0.0,14.066,2019,0,113,23,False,True
37,5.8,8.233,0.0,14.033,2019,0,244,67,False,True
38,6.0,8.033,0.0,14.033,2019,0,213,69,False,True
39,5.3,8.725,0.0,14.025,2019,0,30,19,False,True
40,5.5,8.508,0.0,14.008,2019,0,246,10,False,True
41,5.3,8.7,0.0,14.0,2019,0,156,73,False,True
42,5.5,8.5,0.0,14.0,2019,0,168,23,False,True
43,5.6,8.4,0.0,14.0,2019,0,47,11,False,True
43,5.6,8.4,0.0,14.0,2019,0,126,59,False,True
45,5.8,8.2,0.0,14.0,2019,0,163,38,False,True
46,5.8,8.166,0.0,13.966,2019,0,132,73,False,True
47,5.4,8.5,0.0,13.9,2019,0,174,27,False,True
48,5.8,8.1,0.0,13.9,2019,0,141,34,False,True
49,5.9,8.0,0.0,13.9,2019,0,162,50,False,True
50,6.4,7.5,0.0,13.9,2019,0,241,37,False,True
51,5.5,8.366,0.0,13.866,2019,0,208,11,False,True
52,5.6,8.266,0.0,13.866,2019,0,175,7,False,True
53,5.2,8.6,0.0,13.8,2019,0,194,11,False,True
54,5.3,8.5,0.0,13.8,2019,0,16,73,False,True
55,5.4,8.4,0.0,13.8,2019,0,53,10,False,True
56,5.7,8.1,0.0,13.8,2019,0,240,67,False,True
57,5.6,8.166,0.0,13.766,2019,0,76,47,False,True
58,5.8,7.966,0.0,13.766,2019,0,106,73,False,True
58,5.8,7.966,0.0,13.766,2019,0,49,44,False,True
60,5.3,8.433,0.0,13.733,2019,0,248,73,False,True
61,5.4,8.333,0.0,13.733,2019,0,121,63,False,True
62,5.3,8.4,0.0,13.7,2019,0,48,25,False,True
63,5.1,8.566,0.0,13.666,2019,0,229,41,False,True
64,5.2,8.466,0.0,13.666,2019,0,25,33,False,True
64,5.2,8.466,0.0,13.666,2019,0,138,43,False,True
66,5.6,8.033,0.0,13.633,2019,0,237,57,False,True
67,5.0,8.6,0.0,13.6,2019,0,13,33,False,True
68,5.2,8.4,0.0,13.6,2019,0,10,38,False,True
69,5.7,7.9,0.0,13.6,2019,0,75,9,False,True
70,4.7,8.866,0.0,13.566,2019,0,222,73,False,True
71,5.1,8.466,0.0,13.566,2019,0,143,7,False,True
71,5.1,8.466,0.0,13.566,2019,0,117,25,False,True
73,5.4,8.166,0.0,13.566,2019,0,31,47,False,True
74,5.5,8.066,0.0,13.566,2019,0,169,34,False,True
75,5.9,7.666,0.0,13.566,2019,0,131,72,False,True
76,5.1,8.433,0.0,13.533,2019,0,157,7,False,True
77,5.2,8.333,0.0,13.533,2019,0,155,0,False,True
78,5.3,8.233,0.0,13.533,2019,0,91,66,False,True
79,6.4,7.133,0.0,13.533,2019,0,52,58,False,True
80,5.0,8.5,0.0,13.5,2019,0,50,18,False,True
81,5.4,8.4,-0.3,13.5,2019,0,224,23,False,True
82,5.1,8.4,0.0,13.5,2019,0,43,47,False,True
83,5.4,8.1,0.0,13.5,2019,0,231,4,False,True
84,5.4,8.066,0.0,13.466,2019,0,140,9,False,True
85,5.8,7.666,0.0,13.466,2019,0,164,4,False,True
86,4.9,8.533,0.0,13.433,2019,0,203,29,False,True
87,5.0,8.433,0.0,13.433,2019,0,215,49,False,True
88,5.6,7.833,0.0,13.433,2019,0,41,14,False,True
89,5.2,8.2,0.0,13.4,2019,0,102,6,False,True
89,5.2,8.2,0.0,13.4,2019,0,228,12,False,True
91,4.8,8.566,0.0,13.366,2019,0,61,8,False,True
92,5.3,8.066,0.0,13.366,2019,0,181,24,False,True
93,5.4,7.958,0.0,13.358,2019,0,86,1,False,True
94,4.9,8.45,0.0,13.35,2019,0,96,55,False,True
95,5.3,8.033,0.0,13.333,2019,0,107,64,False,True
96,5.6,7.733,0.0,13.333,2019,0,110,7,False,True
97,5.4,7.925,0.0,13.325,2019,0,134,59,False,True
98,4.9,8.366,0.0,13.266,2019,0,139,25,False,True
99,5.1,8.166,0.0,13.266,2019,0,18,14,False,True
100,5.2,8.066,0.0,13.266,2019,0,3,71,False,True
101,4.8,8.433,0.0,13.233,2019,0,100,20,False,True
102,4.9,8.333,0.0,13.233,2019,0,93,8,False,True
103,5.2,8.033,0.0,13.233,2019,0,22,25,False,True
104,5.3,7.9,0.0,13.2,2019,0,112,12,False,True
105,5.8,7.366,0.0,13.166,2019,0,188,73,False,True
106,4.9,8.233,0.0,13.133,2019,0,209,2,False,True
107,4.9,8.2,0.0,13.1,2019,0,29,30,False,True
108,5.0,8.1,0.0,13.1,2019,0,55,63,False,True
109,5.5,7.6,0.0,13.1,2019,0,146,16,False,True
110,5.8,7.3,0.0,13.1,2019,0,190,16,False,True
111,4.9,8.166,0.0,13.066,2019,0,54,18,False,True
111,4.9,8.166,0.0,13.066,2019,0,4,30,False,True
113,5.7,7.366,0.0,13.066,2019,0,81,73,False,True
114,5.9,7.166,0.0,13.066,2019,0,97,44,False,True
115,4.3,8.733,0.0,13.033,2019,0,2,31,False,True
116,4.5,8.533,0.0,13.033,2019,0,154,5,False,True
117,5.0,8.0,0.0,13.0,2019,0,109,51,False,True
118,5.1,7.9,0.0,13.0,2019,0,11,8,False,True
119,5.3,7.7,0.0,13.0,2019,0,183,59,False,True
120,5.6,7.4,0.0,13.0,2019,0,151,17,False,True
121,4.6,8.366,0.0,12.966,2019,0,148,34,False,True
122,4.7,8.266,0.0,12.966,2019,0,179,40,False,True
123,5.1,7.866,0.0,12.966,2019,0,217,49,False,True
124,4.7,8.233,0.0,12.933,2019,0,65,24,False,True
125,5.1,7.833,0.0,12.933,2019,0,199,24,False,True
126,5.2,7.733,0.0,12.933,2019,0,57,53,False,True
127,4.2,8.7,0.0,12.9,2019,0,74,53,False,True
128,4.4,8.5,0.0,12.9,2019,0,64,24,False,True
129,4.7,8.166,0.0,12.866,2019,0,94,38,False,True
130,4.8,8.066,0.0,12.866,2019,0,227,57,False,True
131,4.8,8.033,0.0,12.833,2019,0,33,29,False,True
132,4.8,8.0,0.0,12.8,2019,0,56,29,False,True
133,5.2,7.6,0.0,12.8,2019,0,165,21,False,True
