Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
36,4.8,7.2,0.0,12.0,2019,0,61,11,False,True
37,4.1,7.875,0.0,11.975,2019,0,173,64,False,True
38,6.0,5.85,0.0,11.85,2019,0,83,9,False,True
39,4.6,7.175,0.0,11.775,2019,0,201,51,False,True
40,3.9,7.8,0.0,11.7,2019,0,266,5,False,True
40,3.9,7.8,0.0,11.7,2019,0,169,36,False,True
42,4.3,7.3,0.0,11.6,2019,0,135,2,False,True
43,4.2,7.25,0.0,11.45,2019,0,104,4,False,True
44,3.3,8.1,0.0,11.4,2019,0,99,4,False,True
45,4.2,7.15,0.0,11.35,2019,0,81,46,False,True
46,4.4,6.95,0.0,11.35,2019,0,275,8,False,True
47,4.3,7.0,0.0,11.3,2019,0,250,8,False,True
48,3.2,7.85,0.0,11.05,2019,0,90,25,False,True
49,4.4,6.6,0.0,11.0,2019,0,137,7,False,True
50,4.7,6.25,0.0,10.95,2019,0,76,70,False,True
51,3.6,6.95,0.0,10.55,2019,0,118,2,False,True
52,3.2,7.3,0.0,10.5,2019,0,96,56,False,True
53,4.4,6.025,0.0,10.425,2019,0,181,7,False,True
54,3.5,4.9,0.0,8.4,2019,0,98,52,False,True
55,4.3,3.95,0.0,8.25,2019,0,38,52,False,True
1,7.0,8.5,0.0,15.5,2019,1,180,75,True,False
2,6.5,8.933,0.0,15.433,2019,0,152,75,True,False
3,6.4,9.0,0.0,15.4,2019,0,223,33,True,False
4,6.3,8.7,0.0,15.0,2019,0,281,13,True,False
5,6.6,8.266,0.0,14.866,2019,1,141,39,True,False
6,6.3,8.533,0.0,14.833,2019,0,59,26,True,False
7,6.0,8.733,0.0,14.733,2019,0,243,75,True,False
8,6.4,7.166,0.0,13.566,2019,0,65,60,True,False
9,5.9,7.433,0.0,13.333,2019,0,60,39,True,False
1,6.9,8.366,0.0,15.266,2019,1,180,75,False,True
2,6.3,8.9,0.0,15.2,2019,0,223,33,False,True
3,6.2,8.766,0.0,14.966,2019,0,152,75,False,True
4,6.0,8.958,0.0,14.958,2019,0,281,13,False,True
5,6.0,8.883,0.0,14.883,2019,0,60,39,False,True
6,6.0,8.683,0.0,14.683,2019,0,243,75,False,True
7,6.3,8.366,0.0,14.666,2019,0,59,26,False,True
8,6.4,8.233,0.0,14.633,2019,1,141,39,False,True
8,6.4,8.233,0.0,14.633,2019,0,65,60,False,True
10,6.5,8.1,0.0,14.6,2019,0,205,70,False,True
11,6.3,8.1,0.0,14.4,2019,0,138,39,False,True
12,5.9,8.4,0.0,14.3,2019,0,195,40,False,True
13,5.8,8.333,0.0,14.133,2019,0,97,3,False,True
14,6.1,8.033,0.0,14.133,2019,0,12,40,False,True
15,6.3,7.8,0.0,14.1,2019,0,171,18,False,True
16,6.2,7.833,0.0,14.033,2019,0,200,60,False,True
17,6.2,7.8,0.0,14.0,2019,0,1,73,False,True
18,5.8,8.166,0.0,13.966,2019,0,62,46,False,True
19,5.6,8.333,0.0,13.933,2019,0,31,35,False,True
20,5.6,8.233,0.0,13.833,2019,0,84,69,False,True
21,5.6,8.133,0.0,13.733,2019,0,87,9,False,True
22,5.9,7.833,0.0,13.733,2019,0,116,60,False,True
23,6.2,7.5,0.0,13.7,2019,0,214,70,False,True
24,5.6,8.033,0.0,13.633,2019,0,40,64,False,True
25,5.7,7.866,0.0,13.566,2019,0,162,36,False,True
25,5.7,7.866,0.0,13.566,2019,0,21,75,False,True
27,6.0,7.566,0.0,13.566,2019,0,155,61,False,True
28,5.1,8.433,0.0,13.533,2019,0,67,19,False,True
29,5.2,8.333,0.0,13.533,2019,0,160,26,False,True
30,5.2,8.333,0.0,13.533,2019,0,276,70,False,True
31,5.7,7.833,0.0,13.533,2019,0,11,72,False,True
32,5.9,7.6,0.0,13.5,2019,0,128,75,False,True
33,5.4,8.066,0.0,13.466,2019,0,34,3,False,True
34,5.3,8.133,0.0,13.433,2019,0,69,30,False,True
35,4.9,8.5,0.0,13.4,2019,0,27,26,False,True
36,6.0,7.4,0.0,13.4,2019,0,274,13,False,True
