Rank,Athlete,Nation,D,E,ND,Total,year,round
1,carlos edriel yulo,PHI,6.2,8.366,0.0,14.566,2019,final
2,hibiki arayashiki,JPN,5.9,8.6,0.0,14.5,2019,final
3,rayderley zapata,ESP,6.1,8.4,0.0,14.5,2019,final
3,dominick cunningham,none,6.1,8.4,0.0,14.5,2019,final
5,kim han-sol,SKR,6.2,8.0,0.0,14.2,2019,final
6,casimir schmidt,NED,6.1,7.733,0.0,13.833,2019,final
7,christopher remkes,AUS,6.9,6.833,0.0,13.733,2019,final
8,ahmet önder,TUR,5.9,7.266,0.0,13.166,2019,final
1,ahmet önder,TUR,5.9,8.366,0.0,14.266,2019,qual
2,rayderley zapata,ESP,6.1,8.225,-0.1,14.225,2019,qual
3,carlos edriel yulo,PHI,6.2,8.033,-0.1,14.133,2019,qual
4,kim han-sol,SKR,6.2,7.933,0.0,14.133,2019,qual
5,hibiki arayashiki,JPN,5.9,8.2,0.0,14.1,2019,qual
6,dominick cunningham,none,5.8,8.266,0.0,14.066,2019,qual
7,casimir schmidt,NED,5.9,8.066,0.0,13.966,2019,qual
8,christopher remkes,AUS,6.3,7.633,-0.1,13.833,2019,qual
9,arthur zanetti,BRA,5.8,7.966,0.0,13.766,2019,qual
10,milad karimi,KAZ,6.0,7.733,0.0,13.733,2019,qual
11,alexander shatilov,ISR,5.4,8.266,0.0,13.666,2019,qual
12,heikki saarenketo,FIN,6.0,7.666,0.0,13.666,2019,qual
13,bram verhofstad,NED,5.9,7.733,-0.1,13.533,2019,qual
14,akim mussayev,KAZ,6.0,7.233,-0.3,12.933,2019,qual
15,zhou caisong,CHN,6.0,6.866,0.0,12.866,2019,qual
16,hung shih-tung,none,5.4,7.633,-0.2,12.833,2019,qual
17,rok klavora,SLO,5.7,7.133,0.0,12.833,2019,qual
18,loris frasca,FRA,5.8,7.033,0.0,12.833,2019,qual
19,daniel villafane,ARG,5.6,7.2,0.0,12.8,2019,qual
20,valgard reinhardsson,ISL,5.3,7.466,0.0,12.766,2019,qual
21,lincoln liqht man,SIN,4.8,7.833,0.0,12.633,2019,qual
22,heath thorpe,AUS,5.7,6.933,0.0,12.633,2019,qual
23,tomomasa hasegawa,JPN,5.4,7.233,-0.1,12.533,2019,qual
24,shin jea-hwan,SKR,5.4,7.333,-0.3,12.433,2019,qual
25,wei an terry tay,SIN,5.5,6.7,0.0,12.2,2019,qual
26,yazan al souliman,SYR,4.9,6.8,0.0,11.7,2019,qual
1,abdelrahman magdy elgamal,TUR,6.0,8.733,0.0,14.733,2020,qual
2,kirill prokopev,RUS,6.2,8.533,0.0,14.733,2020,qual
3,milad karimi,KAZ,6.3,8.366,0.0,14.666,2020,qual
4,ryu sung-hyun,SKR,6.5,8.033,-0.1,14.433,2020,qual
5,kazuki minami,JPN,6.4,7.966,0.0,14.366,2020,qual
6,dmitriy patanin,KAZ,6.0,8.266,0.0,14.266,2020,qual
7,hayden skinner,,6.3,7.933,0.0,14.233,2020,qual
8,tomas gonzalez,CHI,5.9,8.266,0.0,14.166,2020,qual
9,alexey rostov,RUS,5.5,8.566,0.0,14.066,2020,qual
10,casimir schmidt,NED,5.9,8.1,0.0,14.0,2020,qual
11,rok klavora,SLO,5.6,8.333,0.0,13.933,2020,qual
12,dinh phuong thanh,VIE,5.1,8.666,0.0,13.766,2020,qual
13,marco rizzo,SUI,5.9,7.933,-0.1,13.733,2020,qual
14,ahmet önder,TUR,6.0,7.733,-0.1,13.633,2020,qual
15,yahor sharamkou,BLR,5.9,7.8,-0.1,13.6,2020,qual
16,aurel benovic,CRO,6.1,7.5,0.0,13.6,2020,qual
17,yordan aleksandrov,BUL,5.4,8.1,0.0,13.5,2020,qual
18,konstantin kuzovkov,GEO,5.4,8.066,0.0,13.466,2020,qual
19,murad agharzayev,AZE,5.8,7.6,0.0,13.4,2020,qual
20,sviataslau dranitski,BLR,5.6,7.633,-0.1,13.133,2020,qual
21,thierno diallo,ESP,5.9,7.233,-0.1,13.033,2020,qual
22,ethan dick,NZL,5.4,7.566,0.0,12.966,2020,qual
23,aghamurad gahramanov,AZE,5.5,7.766,-0.5,12.766,2020,qual
24,jorge vega lopez,GUA,5.9,6.966,-0.1,12.766,2020,qual
25,bram verhofstad,NED,5.8,7.033,-0.1,12.733,2020,qual
26,david huddleston,BUL,5.3,7.766,-0.4,12.666,2020,qual
27,antonios tantalidis,GRE,5.6,7.066,0.0,12.666,2020,qual
28,jan gwynn timbang,PHI,5.3,7.35,0.0,12.65,2020,qual
29,taha serhani,SUI,5.6,6.866,0.0,12.466,2020,qual
30,filip sasnal,POL,4.9,7.766,-0.4,12.266,2020,qual
31,emil soravuo,FIN,5.4,6.866,-0.1,12.166,2020,qual
32,justine ace de leon,PHI,5.4,6.733,0.0,12.133,2020,qual
33,dawid weglarz,POL,5.2,6.866,-0.1,11.966,2020,qual
34,christoforos konstantinidis,GRE,5.6,6.233,0.0,11.833,2020,qual
35,oskar kirmes,FIN,5.2,6.566,0.0,11.766,2020,qual
36,isaac nuñez,MEX,5.1,6.666,-0.4,11.366,2020,qual
37,ioane jimsheleishvili,GEO,5.5,6.233,-0.6,11.133,2020,qual
38,lin guan-yi,,5.3,5.766,0.0,11.066,2020,qual
1,kirill prokopev,RUS,6.2,8.75,0.0,14.95,2019,final
2,kazuma kaya,JPN,5.8,8.8,0.0,14.6,2019,final
3,kakeru tanigawa,JPN,5.9,8.65,0.0,14.55,2019,final
4,kim han-sol,SKR,6.0,8.55,0.0,14.55,2019,final
5,marco walter,SUI,5.7,8.45,0.0,14.15,2019,final
6,alexander diab,USA,5.6,8.05,0.0,13.65,2019,final
7,milad karimi,KAZ,6.2,7.55,-0.1,13.65,2019,final
8,andrea russo,ITA,5.4,6.25,-0.1,11.55,2019,final
1,kirill prokopev,RUS,6.2,8.9,0.0,15.1,2019,qual
2,kazuma kaya,JPN,5.8,9.0,0.0,14.8,2019,qual
3,kakeru tanigawa,JPN,5.9,8.825,0.0,14.725,2019,qual
4,milad karimi,KAZ,6.2,8.35,0.0,14.55,2019,qual
5,wataru tanigawa,JPN,6.0,8.35,0.0,14.35,2019,qual
6,marco walter,SUI,5.7,8.55,0.0,14.25,2019,qual
7,kim han-sol,SKR,5.9,8.35,0.0,14.25,2019,qual
8,andrea russo,ITA,5.5,8.55,0.0,14.05,2019,qual
9,alexander diab,USA,5.6,8.325,0.0,13.925,2019,qual
10,lee chih-kai,none,5.5,8.65,-0.3,13.85,2019,qual
11,ivan stretovich,RUS,5.4,8.45,0.0,13.85,2019,qual
11,ivan tikhonov,AZE,5.4,8.45,0.0,13.85,2019,qual
