Rank,FX,PH,SR,VT,PB,HB,AA,year,Nation,Name,round_final,round_qual
107.0,12.766,0.0,0.0,13.366,0.0,0.0,26.132,2021,,385,False,True
108.0,11.466,0.0,0.0,14.633,0.0,0.0,26.099,2021,,98,False,True
108.0,0.0,0.0,12.833,13.266,0.0,0.0,26.099,2021,,86,False,True
110.0,0.0,11.666,0.0,0.0,14.366,0.0,26.032,2021,,59,False,True
111.0,0.0,0.0,13.366,0.0,12.633,0.0,25.999,2021,,220,False,True
112.0,0.0,0.0,0.0,0.0,14.566,11.333,25.899,2021,,202,False,True
113.0,0.0,13.133,0.0,0.0,0.0,12.666,25.799,2021,,184,False,True
114.0,0.0,13.033,12.366,0.0,0.0,0.0,25.399,2021,,375,False,True
115.0,11.866,0.0,0.0,13.366,0.0,0.0,25.232,2021,,90,False,True
116.0,13.033,12.166,0.0,0.0,0.0,0.0,25.199,2021,,32,False,True
117.0,11.466,0.0,0.0,13.666,0.0,0.0,25.132,2021,,274,False,True
118.0,0.0,12.8,0.0,0.0,12.2,0.0,25.0,2021,,358,False,True
119.0,0.0,12.033,0.0,0.0,12.866,0.0,24.899,2021,,366,False,True
120.0,0.0,0.0,11.7,13.033,0.0,0.0,24.733,2021,,341,False,True
121.0,10.6,0.0,0.0,14.1,0.0,0.0,24.7,2021,,91,False,True
122.0,0.0,0.0,0.0,13.7,0.0,10.966,24.666,2021,,173,False,True
123.0,0.0,12.5,11.8,0.0,0.0,0.0,24.3,2021,,315,False,True
124.0,13.933,9.966,0.0,0.0,0.0,0.0,23.899,2021,,167,False,True
125.0,0.0,11.6,0.0,0.0,12.066,0.0,23.666,2021,,133,False,True
126.0,11.033,0.0,0.0,0.0,0.0,11.975,23.008,2021,,272,False,True
127.0,0.0,11.366,0.0,0.0,0.0,11.6,22.966,2021,,0,False,True
128.0,0.0,9.933,0.0,0.0,12.533,0.0,22.466,2021,,407,False,True
129.0,0.0,0.0,7.166,14.7,0.0,0.0,21.866,2021,,162,False,True
130.0,0.0,12.4,0.0,0.0,0.0,8.433,20.833,2021,,89,False,True
131.0,0.0,8.866,0.0,0.0,0.0,11.166,20.032,2021,,209,False,True
132.0,0.0,15.6,0.0,0.0,0.0,0.0,15.6,2021,,400,False,True
133.0,0.0,15.366,0.0,0.0,0.0,0.0,15.366,2021,,360,False,True
134.0,0.0,15.3,0.0,0.0,0.0,0.0,15.3,2021,,17,False,True
135.0,0.0,0.0,15.266,0.0,0.0,0.0,15.266,2021,,224,False,True
136.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,2021,,276,False,True
137.0,14.966,0.0,0.0,0.0,0.0,0.0,14.966,2021,,269,False,True
138.0,0.0,0.0,0.0,14.933,0.0,0.0,14.933,2021,,410,False,True
139.0,0.0,0.0,0.0,14.933,0.0,0.0,14.933,2021,,405,False,True
140.0,0.0,14.866,0.0,0.0,0.0,0.0,14.866,2021,,123,False,True
141.0,0.0,0.0,0.0,0.0,14.841,0.0,14.841,2021,,72,False,True
142.0,0.0,0.0,14.766,0.0,0.0,0.0,14.766,2021,,396,False,True
142.0,0.0,0.0,14.766,0.0,0.0,0.0,14.766,2021,,140,False,True
142.0,0.0,0.0,14.766,0.0,0.0,0.0,14.766,2021,,159,False,True
145.0,0.0,14.666,0.0,0.0,0.0,0.0,14.666,2021,,146,False,True
145.0,0.0,0.0,14.666,0.0,0.0,0.0,14.666,2021,,338,False,True
147.0,0.0,0.0,0.0,14.6,0.0,0.0,14.6,2021,,29,False,True
147.0,0.0,0.0,14.6,0.0,0.0,0.0,14.6,2021,,244,False,True
149.0,14.566,0.0,0.0,0.0,0.0,0.0,14.566,2021,,148,False,True
149.0,0.0,0.0,0.0,14.566,0.0,0.0,14.566,2021,,246,False,True
152.0,14.533,0.0,0.0,0.0,0.0,0.0,14.533,2021,,107,False,True
153.0,0.0,0.0,0.0,0.0,0.0,14.366,14.366,2021,,60,False,True
154.0,0.0,0.0,0.0,14.3,0.0,0.0,14.3,2021,,38,False,True
154.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,2021,,387,False,True
156.0,0.0,0.0,0.0,0.0,0.0,14.266,14.266,2021,,66,False,True
157.0,0.0,0.0,14.233,0.0,0.0,0.0,14.233,2021,,23,False,True
158.0,0.0,14.133,0.0,0.0,0.0,0.0,14.133,2021,,342,False,True
