Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
22,5.1,8.3,0.0,13.4,2019,0,284,18,0,1
22,5.1,8.3,0.0,13.4,2019,0,273,37,0,1
24,5.1,8.25,0.0,13.35,2019,0,177,64,0,1
25,5.0,8.3,-0.1,13.2,2019,0,195,37,0,1
26,5.2,7.95,0.0,13.15,2019,0,64,58,0,1
27,4.4,8.65,0.0,13.05,2019,0,144,11,0,1
28,5.0,7.95,0.0,12.95,2019,0,227,53,0,1
29,4.5,8.4,0.0,12.9,2019,0,138,2,0,1
30,5.5,7.4,0.0,12.9,2019,0,36,5,0,1
31,4.6,8.25,0.0,12.85,2019,0,207,4,0,1
32,5.3,7.75,-0.2,12.85,2019,0,156,7,0,1
33,5.7,7.35,-0.2,12.85,2019,0,117,4,0,1
34,4.4,8.4,0.0,12.8,2019,0,154,2,0,1
35,4.6,8.2,0.0,12.8,2019,0,122,81,0,1
36,5.1,7.7,0.0,12.8,2019,0,299,8,0,1
37,5.6,7.15,0.0,12.75,2019,0,127,62,0,1
38,4.9,7.6,0.0,12.5,2019,0,291,5,0,1
39,4.7,7.65,0.0,12.35,2019,0,256,61,0,1
40,5.1,7.25,0.0,12.35,2019,0,104,48,0,1
41,4.8,7.5,0.0,12.3,2019,0,123,4,0,1
42,5.4,7.475,-0.6,12.275,2019,0,294,75,0,1
43,5.0,7.275,0.0,12.275,2019,0,199,16,0,1
44,4.4,7.45,0.0,11.85,2019,0,219,18,0,1
45,4.2,7.8,-0.3,11.7,2019,0,183,20,0,1
46,4.2,7.3,0.0,11.5,2019,0,110,26,0,1
47,4.3,7.15,0.0,11.45,2019,0,276,8,0,1
48,4.3,7.0,0.0,11.3,2019,0,99,75,0,1
49,5.1,5.5,0.0,10.6,2019,0,251,61,0,1
50,5.0,5.5,-0.3,10.2,2019,0,115,58,0,1
1,6.5,8.8,0.0,15.3,2019,0,71,56,1,0
2,6.4,8.8,0.0,15.2,2019,1,53,36,1,0
3,6.2,8.733,0.0,14.933,2019,1,298,13,1,0
4,6.2,8.6,0.0,14.8,2019,0,56,62,1,0
5,6.2,8.5,0.0,14.7,2019,0,178,13,1,0
6,6.2,8.266,-0.3,14.166,2019,0,226,62,1,0
7,6.3,7.533,0.0,13.833,2019,0,166,64,1,0
8,6.1,7.566,-0.1,13.566,2019,0,94,81,1,0
1,6.4,8.633,0.0,15.033,2019,1,53,36,0,1
2,6.2,8.733,0.0,14.933,2019,0,178,13,0,1
3,6.4,8.5,0.0,14.9,2019,0,226,62,0,1
4,6.2,8.633,0.0,14.833,2019,1,298,13,0,1
5,6.5,8.233,0.0,14.733,2019,0,56,62,0,1
6,6.1,8.566,0.0,14.666,2019,0,166,64,0,1
7,6.5,8.133,0.0,14.633,2019,0,71,56,0,1
8,6.1,8.5,0.0,14.6,2019,0,94,81,0,1
9,6.0,8.533,0.0,14.533,2019,0,225,25,0,1
10,5.8,8.666,0.0,14.466,2019,0,306,77,0,1
11,5.8,8.633,0.0,14.433,2019,0,80,40,0,1
12,6.2,8.333,-0.1,14.433,2019,0,210,41,0,1
13,6.0,8.366,0.0,14.366,2019,0,175,64,0,1
14,5.8,8.533,0.0,14.333,2019,0,173,81,0,1
15,5.9,8.416,0.0,14.316,2019,0,114,81,0,1
16,5.9,8.4,0.0,14.3,2019,0,38,36,0,1
17,5.9,8.333,0.0,14.233,2019,0,297,11,0,1
18,5.4,8.766,0.0,14.166,2019,0,278,81,0,1
19,5.5,8.666,0.0,14.166,2019,0,275,13,0,1
20,5.7,8.566,-0.1,14.166,2019,0,141,81,0,1
21,5.6,8.566,0.0,14.166,2019,0,54,9,0,1
21,5.6,8.566,0.0,14.166,2019,0,101,26,0,1
23,5.7,8.466,0.0,14.166,2019,0,182,27,0,1
24,6.3,8.166,-0.3,14.166,2019,0,90,13,0,1
25,6.0,8.441,-0.3,14.141,2019,0,234,67,0,1
