Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
7,6.8,8.0,0.0,14.8,2015,0,15,17,1,0
8,6.8,8.033,-0.1,14.733,2015,0,21,12,1,0
1,6.2,8.966,0.0,15.166,2015,0,14,28,1,0
2,6.6,8.466,0.0,15.066,2015,0,5,62,1,0
3,6.5,8.541,0.1,14.941,2015,0,17,67,1,0
4,6.5,8.433,0.0,14.933,2015,0,0,36,1,0
5,6.7,8.3,0.1,14.9,2015,0,18,25,1,0
6,6.5,8.366,0.0,14.866,2015,0,2,51,1,0
7,6.3,7.433,0.0,13.733,2015,0,20,16,1,0
8,6.4,6.333,0.3,12.433,2015,0,1,16,1,0
