Rank,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,year,medal,Name,Nation
15,5.2,8.3,0.0,13.5,5.2,8.5,-0.1,13.6,27.1,2020,0,8,23
16,4.8,8.95,0.0,13.75,5.2,8.1,0.0,13.3,27.05,2020,0,35,23
16,5.2,8.75,-0.1,13.85,5.2,8.0,0.0,13.2,27.05,2020,0,54,23
18,5.2,8.9,0.0,14.1,5.2,7.65,-0.1,12.75,26.85,2020,0,44,23
19,4.8,8.85,0.0,13.65,4.0,9.15,0.0,13.15,26.8,2020,0,48,23
20,5.2,8.35,0.0,13.55,4.8,7.25,-0.3,11.75,25.3,2020,0,26,23
1,6.0,9.2,0.0,15.2,5.6,8.966,0.0,14.566,14.883,2020,1,58,19
2,5.6,8.966,0.0,14.566,5.6,9.166,0.0,14.766,14.666,2020,0,3,11
3,5.6,9.066,0.0,14.666,5.6,9.033,0.0,14.633,14.649,2020,0,27,22
4,5.6,9.066,0.0,14.666,5.2,9.266,0.0,14.466,14.566,2020,0,30,1
5,5.2,9.2,0.0,14.4,5.6,9.033,0.0,14.633,14.516,2020,0,62,3
6,5.6,8.9,0.0,14.5,5.6,8.9,0.0,14.5,14.5,2020,0,13,25
7,5.6,9.066,0.0,14.666,5.6,8.8,-0.1,14.3,14.483,2020,0,0,21
8,5.6,8.933,-0.1,14.433,5.2,9.233,0.0,14.433,14.433,2020,0,32,9
9,5.2,9.2,0.0,14.4,5.2,9.0,0.0,14.2,14.3,2020,0,59,3
10,5.6,8.7,0.0,14.3,5.2,8.9,0.0,14.1,14.2,2020,0,25,12
11,6.0,8.133,-0.3,13.833,5.6,8.966,0.0,14.566,14.199,2020,0,6,5
12,5.2,8.933,0.0,14.133,5.2,9.066,0.0,14.266,14.199,2020,0,40,20
13,5.2,9.4,0.0,14.6,5.2,8.666,-0.3,13.566,14.083,2020,0,45,13
14,5.6,7.866,-0.3,13.166,5.6,9.066,0.0,14.666,13.916,2020,0,9,15
15,6.0,7.866,-0.1,13.766,6.0,7.966,-0.3,13.666,13.716,2020,0,57,10
16,5.2,9.066,0.0,14.266,4.8,8.6,-0.3,13.1,13.683,2020,0,19,13
17,5.6,8.033,0.0,13.633,4.8,8.933,0.0,13.733,13.683,2020,0,29,2
18,5.2,8.966,-0.1,14.066,5.2,8.033,0.0,13.233,13.649,2020,0,46,2
19,5.0,9.066,0.0,14.066,5.2,8.0,0.0,13.2,13.633,2020,0,42,17
20,5.2,8.133,-0.1,13.233,5.2,8.666,-0.1,13.766,13.499,2020,0,55,16
21,5.2,8.7,-0.1,13.8,4.0,9.033,0.0,13.033,13.416,2020,0,31,15
22,5.2,8.0,-0.3,12.9,5.2,8.666,0.0,13.866,13.383,2020,0,47,21
23,4.8,8.866,0.0,13.666,5.2,8.1,-0.2,13.1,13.383,2020,0,36,7
24,5.2,8.233,-0.3,13.133,4.8,8.7,0.0,13.5,13.316,2020,0,22,8
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,20,16
1,5.6,9.5,0.0,15.1,5.6,9.333,0.0,14.933,15.016,2019,1,5,0
2,5.6,9.266,0.0,14.866,5.2,9.4,0.0,14.6,14.733,2019,0,14,18
3,5.6,9.133,0.0,14.733,5.6,8.966,0.0,14.566,14.649,2019,0,27,22
4,5.6,9.166,0.0,14.766,5.6,9.0,-0.1,14.5,14.633,2019,0,3,11
5,5.6,9.2,-0.3,14.5,5.6,8.9,-0.1,14.4,14.45,2019,0,38,6
6,5.6,9.133,0.0,14.733,5.4,8.0,0.0,13.4,14.066,2019,0,23,25
