Date,Competition,,VT,UB,BB,FX,AA
Aug 24-27,U.S. Championships,AA,14.85,14.05,14.85,15.4,59.15
Aug 24-27,U.S. Championships,QF,15.5,14.35,14.45,14.8,59.1
Aug 4-6,U.S. Classic,AA,15.2,14,14.8,14.9,58.9
Jul 9-12,July National Team Camp,AA,14.65,14.2,14.35,14.45,57.65
