Rank,Gymnast,D Score,E Score,Pen.,Score 1,D Score.1,E Score.1,Pen..1,Score 2,Total
,Ri Se-gwang (PRK),6.4,9.233,,15.633,6.4,9.1,0.3,15.2,15.416
,Ihor Radivilov (UKR),6.0,9.2,,15.2,6.0,9.466,,15.466,15.333
,Jacob Dalton (USA),6.0,9.233,0.1,15.133,6.0,9.266,,15.266,15.199
4.0,Kenzo Shirai (JPN),6.0,9.058,,15.058,5.6,9.466,,15.066,15.062
5.0,Sérgio Sasaki (BRA),6.0,9.166,0.1,15.066,6.0,9.066,0.1,14.966,15.016
6.0,Shek Wai Hung (HKG),6.0,9.166,0.1,15.066,6.0,9.033,0.1,14.933,14.999
7.0,Yang Hak-seon (KOR),6.4,8.166,0.1,14.466,6.4,8.066,0.1,14.366,14.416
8.0,Denis Ablyazin (RUS),6.0,8.133,,14.133,6.2,8.0,0.1,14.1,14.116
